Id,Name,Description,Comments,Users,Allowed roles,Denied roles
4,OMV_CoreTeam,OMV Core Team Members,"temp. Group for initial project phast - should disappear at later stage
",AARON6;ww\CHRISTIAN130;ww\CHRISTIAN87;ww\FLORIAN109;ww\LEONARDO1;ww\MARC23;ww\MARTIN26;ww\MATTHEW9;ww\NEIL08;ww\PAUL77;ww\sancheca;ww\SANDRA18;ww\SEMRA1;ww\Simona10;ww\SIRI02;ww\SUSAN2;ww\X01000648;ww\X01000651;ww\X01001805;ww\X01005176;ww\X01024526;ww\X01026000;ww\X01BanuBo;ww\X01schgeo;ww\X409094;ww\X449156;ww\X449222;ww\X449602;ww\X449810;ww\X449890;ww\X449891;ww\X450313;ww\X450582;ww\X451671;ww\xhussaifi,"Access;Access;Access;Currencies;Data Utility Manage Public Presets;Dataflow Links;Dataflow Links;Documents - Manage Currency Settings;Documents - Manage Date Settings;Documents - Manage Scenarios;Documents - Unlock;Global Settings;Global Settings;Hierarchy - Move, Delete, Rename;Lists;Manage Data;Manage Hierarchies;Manage Hierarchies;Regime Library;Regime Library;Reports - Design;Reports - Design;Revisions Apply and Remove Tags;Tags",
21,OMV_Kazakhstan,"OMV BO Kazakhstan users
","are allowed to see on data from BO Kazakhstan
",,,
18,OMV_Libya,"OMV BO Libya users
","are allowed to see on data from BO Libya
",,,
20,OMV_NewZealand,"OMV BO New Zealand users
","are allowed to see on data from BO New Zealand
",,,
12,OMV_Norway,"OMV BO Norway users
","are allowed to see on data from BO Norway
",,,
14,OMV_Petrom,"OMV Petrom users
","are allowed to see on data from OMV Petrom
",,,
13,OMV_Russia,"OMV BO Russia users
","are allowed to see on data from BO Russia
",,,
19,OMV_Sapura,"OMV Sapura users
","are allowed to see on data from OMV Sapura
",,,
15,OMV_Tunisia,"OMV BO Tunisia users
","are allowed to see on data from BO Tunisisa
",,,
10,OMV_Upstream,"OMV Headoffice users (corporate) 
","are allowed to see data from all countries 
",,,
17,OMV_Yemen,"OMV BO Yemen users
","are allowed to see on data from BO Yemen
",,,
6,PetroVR_users,Workgroup for PetroVR users,,ww\DANIEL279;ww\MICHAEL139;ww\NEIL08;ww\X449077;ww\X449381;ww\X450118;ww\X451671,Access;Dashboard Map;Dataflow Links;Manage Data;Regime Library;Revisions Apply and Remove Tags;Tags,
28,PlanPort_key,"Planning & Portfolio key user
","Planning & Portfolio key user
",,,
27,PlanPort_power,"Planning & Portfolio power user in HO
","Planning & Portfolio power user in HO
",,,
34,Reserves_key,"Reserves key user
","Reserves key user , QREs
",,,
33,Reserves_power,"Reserves power user HO
","Reserves power user HO
",,,
40,Useradmin,"User for useradministration
","permissions to add/change users, workgroups, …
",,,
