data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAGAS\AREA 2 MAGAS\Area 2 Matzen Gas_Cushion Gas_adjustment w. PBD_NIM,Area 2 Matzen Gas_Cushion Gas_adjustment w. PBD_NIM,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAGAS\AREA 2 MAGAS\Area 2 Matzen Gas_Partial Gas Blowdown,Area 2 Matzen Gas_Partial Gas Blowdown,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAGAS\AREA 2 MAGAS\AT Ebenthal West 2,AT Ebenthal West 2,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAOEL,AREA 2 MAOEL,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAOEL\AREA 2 MAOEL,AREA 2 MAOEL,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAOEL\AREA 2 MAOEL\Area 2 Matzen Oil Asset Base,Area 2 Matzen Oil Asset Base,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAOEL\AREA 2 MAOEL\Area 2 Matzen Oil Drilling Budget 2019,Area 2 Matzen Oil Drilling Budget 2019,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAOEL\AREA 2 MAOEL\AT Hohenruppersdorf T1,AT Hohenruppersdorf T1,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAOEL\AREA 2 MAOEL\IWP 16.TH Alkali Pilot,IWP 16.TH Alkali Pilot,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAOEL\AREA 2 MAOEL\IWP 8.9.TH Sector East_MTP,IWP 8.9.TH Sector East_MTP,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAOEL\AREA 2 MAOEL\IWP 8.9.TH Sector East_NIM,IWP 8.9.TH Sector East_NIM,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 2 MAOEL\AREA 2 MAOEL\IWP 8.9.TH Sector West,IWP 8.9.TH Sector West,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\Area 36_CO2 mitigation,Area 36_CO2 mitigation,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\Area36_ROAR,Area36_ROAR,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\AT Schönkirchen UET (look alike),AT Schönkirchen UET (look alike),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\AT Weidling East (Hoeflein look alike),AT Weidling East (Hoeflein look alike),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 3 SCHÖNKIRCHEN_HÖFLEIN,AREA 3 SCHÖNKIRCHEN_HÖFLEIN,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\AREA 3 SCHÖNKIRCHEN_HÖFLEIN,AREA 3 SCHÖNKIRCHEN_HÖFLEIN,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\AREA 3 SCHÖNKIRCHEN_HÖFLEIN\Area 36 Asset Base,Area 36 Asset Base,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 4 HOCHLEITEN,AREA 4 HOCHLEITEN,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 4 HOCHLEITEN\AREA 4 HOCHLEITEN,AREA 4 HOCHLEITEN,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 4 HOCHLEITEN\AREA 4 HOCHLEITEN\Area 4 Hochleiten Oil Asset Base,Area 4 Hochleiten Oil Asset Base,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 4 HOCHLEITEN\AREA 4 HOCHLEITEN\AT Erdpress Nord 1 Oil,AT Erdpress Nord 1 Oil,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 5 SÜD,AREA 5 SÜD,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 5 SÜD\AREA 5 SÜD,AREA 5 SÜD,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 5 SÜD\AREA 5 SÜD\Area 5 Südgas Asset Base,Area 5 Südgas Asset Base,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 7 WEST,AREA 7 WEST,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 7 WEST\AREA 7 WEST,AREA 7 WEST,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AREA 7 WEST\AREA 7 WEST\Area 7 West Asset Base,Area 7 West Asset Base,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AT - Gas Storage,AT - Gas Storage,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AT - Gas Storage\AT - Gas Storage,AT - Gas Storage,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\AT - Gas Storage\AT - Gas Storage\Gasspeicher,Gasspeicher,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\Austria general,Austria general,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\Austria general\Austria general,Austria general,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\Austria general\Austria general\Innovation & Technology Center (ITC)(1),Innovation & Technology Center (ITC)(1),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\Austria general\Austria general\Notional Drilling(1),Notional Drilling(1),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\Austria general\Austria general\R&D Technology AUT(1),R&D Technology AUT(1),Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-OBERÖSTERREICH I,ÖMV-OBERÖSTERREICH I,Contract Area,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-OBERÖSTERREICH I\AREA 8 THANN,AREA 8 THANN,Asset,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-OBERÖSTERREICH I\AREA 8 THANN\AREA 8 THANN,AREA 8 THANN,Reservoir Group,Allow,Allow,NULL,NULL
data.Austria,Data access to country Austria,MTP2019,Organization\Austria\OMV Austria E&P GmbH\ÖMV-OBERÖSTERREICH I\AREA 8 THANN\AREA 8 THANN\Cushion gas blow down Thann,Cushion gas blow down Thann,Project AUT (PRMS),Allow,Allow,NULL,NULL
data.Austria.Key,Data access to country Austria (full access),IIA Projects,Organization\Austria,Austria,Country,Allow,Allow,Allow,NULL
data.Austria.Key,Data access to country Austria (full access),IIA Projects,Organization\Austria\OMV Austria E&P GmbH,OMV Austria E&P GmbH,Legal Entity,Allow,Allow,Allow,NULL
data.Austria.Key,Data access to country Austria (full access),IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH,ÖMV-NIEDERÖSTERREICH,Contract Area,Allow,Allow,Allow,NULL
data.Austria.Key,Data access to country Austria (full access),IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\10 G&A R&B Area Support,10 G&A R&B Area Support,Asset,Allow,Allow,Allow,NULL
data.Austria.Key,Data access to country Austria (full access),IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\10 G&A R&B Area Support\V.1010012 Treatment plant for liquid waste,V.1010012 Treatment plant for liquid waste,Reservoir Group,Allow,Allow,Allow,NULL
data.Austria.Key,Data access to country Austria (full access),IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\10 G&A R&B Area Support\V.1010012 Treatment plant for liquid waste\Treatment plant for liquid and solid waste_TGL3,Treatment plant for liquid and solid waste_TGL3,Project AUT (PRMS),Allow,Allow,Allow,NULL
data.Austria.Key,Data access to country Austria (full access),IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\10 G&A R&B Area Support\V.1010012 Treatment plant for liquid waste\Update after TG_Treatment plant for liquid and solid waste_TGL3,Update after TG_Treatment plant for liquid and solid waste_TGL3,Project AUT (PRMS),Allow,Allow,Allow,NULL
data.Austria.Key,Data access to country Austria (full access),IIA Projects,Organization\Austria\OMV Austria E&P GmbH\ÖMV-NIEDERÖSTERREICH\Thann gas storage blowdown,Thann gas storage blowdown,Asset,Allow,Allow,Allow,NULL
