Id,Name,Description,Comments,Users,Allowed roles,Denied roles
4,OMV_CoreTeam,OMV Core Team Members,"temp. Group for initial project phast - should disappear at later stage
",AARON6;adminx449222@ww.omv.com;demo2;demo3;demo99;STANISLAV7;ww\AARON6;ww\ADRIAN18;ww\ALEXANDER47;ww\ANITA15;ww\ANNA39;ww\ARMANDO1;ww\CARINA21;ww\CHLOE1;ww\CHRISTIAN130;ww\CHRISTIAN87;ww\DANIEL51;ww\DOUG03;ww\DOUG04;ww\ELIN01;ww\FABIAN37;ww\FELIX3;ww\FLORIAN109;ww\GAEL04;ww\GEORG2;ww\GREGORY1;ww\JENNIFER11;ww\KEVIN32;ww\LARS1;ww\LARS3;ww\LEONARDO1;ww\LUCA09;ww\LUKAS80;ww\MANFRED5;ww\MARC23;ww\MARCO9;ww\MARTIN26;ww\MICHAEL139;ww\NEIL08;ww\NINA35;ww\PAUL77;ww\RADE01;ww\RADU50;ww\REIDAR1;ww\RICHARD44;ww\RU000017;ww\RU000051;ww\RU000076;ww\sancheca;ww\SANDRA18;ww\SEBASTIAN15;ww\SEMRA1;ww\SERGEJ2;ww\SIMON30;ww\Simona10;ww\SIRI02;ww\STANISLAV7;ww\STEFAN42;ww\STEPHANIE3;ww\SUSAN2;ww\TREVOR4;ww\VICTOR8;ww\VLADISLAV9;ww\X01000648;ww\X01000651;ww\X01001805;ww\X01005176;ww\X01022380;ww\X01022417;ww\X01024526;ww\X01026000;ww\X01026348;ww\X011450;ww\X011451;ww\X011462;ww\X011798;ww\X012779;ww\X01PEROSC;ww\X01schgeo;ww\X409094;ww\X437426;ww\X448827;ww\X449077;ww\X449156;ww\X449157;ww\X449222;ww\X449282;ww\X449362;ww\X449381;ww\X449596;ww\X449602;ww\X449810;ww\X449890;ww\X449891;ww\X450118;ww\X450246;ww\X450313;ww\X450582;ww\X451062;ww\X451555;ww\X451558;ww\X451671;ww\X451684;ww\X451731;ww\X451775;ww\X452074;ww\X452111;ww\XALEXAN;ww\XANDREEV;ww\XBRUNSDI;ww\XHERCUSSA;ww\xhussaifi;ww\XMAKNINYO,"Access;Access;Access;Audit Logs;Audit Logs;Audit Logs;Currencies;Data Utility Manage Public Presets;Dataflow Links;Dataflow Links;Document Templates and Variables;Documents - Manage Currency Settings;Documents - Manage Date Settings;Documents - Manage Economics Settings;Documents - Manage Scenarios;Documents - Unlock;Global Settings;Global Settings;Hierarchy - Move, Delete, Rename;Lists;Locks;Locks;Manage Data;Manage Hierarchies;Manage Hierarchies;Prices;Regime Library;Regime Library;Reports - Design;Reports - Design;Reports - Design;Reports - Run;Revisions Apply and Remove Tags;Tags;Templates Unlock;Versions",
19,OMV_Kazakhstan,"OMV BO Kazakhstan users
","are allowed to see on data from BO Kazakhstan
",,,
16,OMV_Libya,"OMV BO Libya users
","are allowed to see on data from BO Libya
",,,
18,OMV_NewZealand,"OMV BO New Zealand users
","are allowed to see on data from BO New Zealand
",,,
10,OMV_Norway,"OMV BO Norway users
","are allowed to see on data from BO Norway
",ww\ADRIAN18;ww\ELIN01;ww\GREGORY1;ww\LARS3;ww\LUCA09;ww\MARCO9;ww\REIDAR1;ww\SIRI02;ww\X01022417;ww\X01024526;ww\XBRUNSDI,,
12,OMV_Petrom,"OMV Petrom users
","are allowed to see on data from OMV Petrom
",ww\X01000648;ww\X01000651,,
11,OMV_Russia,"OMV BO Russia users
","are allowed to see on data from BO Russia
",ww\LARS1;ww\RU000017;ww\RU000051;ww\RU000076;ww\VICTOR8;ww\VLADISLAV9;ww\XALEXAN;ww\XANDREEV,,
17,OMV_Sapura,"OMV Sapura users
","are allowed to see on data from OMV Sapura
",ww\X449890,,
13,OMV_Tunisia,"OMV BO Tunisia users
","are allowed to see on data from BO Tunisisa
",ww\XHERCUSSA,,
8,OMV_Upstream,"OMV Headoffice users (corporate) 
","are allowed to see data from all countries 
",STANISLAV7;ww\ANITA15;ww\CARINA21;ww\CHRISTIAN130;ww\CHRISTIAN87;ww\DOUG03;ww\FELIX3;ww\KEVIN32;ww\LEONARDO1;ww\MARC23;ww\MARTIN26;ww\NEIL08;ww\PAUL77;ww\RADE01;ww\sancheca;ww\SANDRA18;ww\Simona10;ww\STANISLAV7;ww\STEPHANIE3;ww\SUSAN2;ww\X01001805;ww\X01005176;ww\X01022380;ww\X011450;ww\X409094;ww\X449156;ww\X449157;ww\X449222;ww\X449602;ww\X449810;ww\X449891;ww\X450313;ww\X450582;ww\X451558;ww\X451671;ww\xhussaifi;ww\XMAKNINYO,,
15,OMV_Yemen,"OMV BO Yemen users
","are allowed to see on data from BO Yemen
",,,
6,PetroVR_users,"PetroVR user
","Users are allowed to use Economics as a Service ; DataLoader
",demo4;demo5;ww\CHRISTIAN87;ww\FLORIAN109;ww\MICHAEL139;ww\NEIL08;ww\RADU50;ww\STEFAN42;ww\X01026348;ww\X011462;ww\X011798;ww\X012779;ww\X01PEROSC;ww\X449077;ww\X449381;ww\X450118;ww\X451555;ww\X451671;ww\X451731;ww\X451775;ww\X452111;ww\XBERGHOKA;ww\XHERCUSSA,,
26,PlanPort_key,"Planning & Portfolio key user
","Planning & Portfolio key user
",,Access;Access;Access;Audit Logs;Audit Logs;Data Utility Manage Public Presets;Dataflow Links;Dataflow Links;Documents - Manage Date Settings;Locks;Locks;Manage Data;Reports - Run;Revisions Apply and Remove Tags,
25,PlanPort_power,"Planning & Portfolio power user in HO
","Planning & Portfolio power user in HO
",,"Access;Access;Access;Audit Logs;Audit Logs;Data Utility Manage Public Presets;Dataflow Links;Dataflow Links;Documents - Manage Currency Settings;Documents - Manage Date Settings;Documents - Manage Economics Settings;Hierarchy - Move, Delete, Rename;Locks;Locks;Manage Data;Reports - Run;Revisions Apply and Remove Tags;Versions;Workflows - Terminate",
32,Reserves_key,"Reserves key user
","Reserves key user , QREs

",,Access;Data Utility Manage Public Presets;Documents - Manage Date Settings;Manage Data;Reports - Run;Revisions Apply and Remove Tags,
31,Reserves_power,"Reserves power user HO
","Reserves power user HO
",,"Access;Data Utility Manage Public Presets;Documents - Manage Date Settings;Hierarchy - Move, Delete, Rename;Manage Data;Reports - Run;Revisions Apply and Remove Tags;Versions;Workflows - Terminate",
38,Useradmin,"User for useradministration
","permissions to add/change users, workgroups, …
",adminx449222@ww.omv.com;useradmin;ww\CARINA21;ww\X449222,Security,
