Name,Description,Category,Allowed workgroups,Denied workgroups
Revisions Apply and Remove Tags,Allows the user to apply and remove revision tags in the Manage Data workspace,Dataflow,Administrators;OMV_CoreTeam;User_heavy,
Workflows - Design,Allows a user to design Workflows,Dataflow,Administrators;User_heavy,
Versions,Allows a user to manage Versions,Dataflow,Administrators;User_heavy,
Documents - Manage Currency Settings,Allows a user to specify the currency settings used by a Document,Dataflow,Administrators;Everyone;OMV_CoreTeam;User_heavy,
Data Utility Manage Public Presets,Allows a user to configure public presets within the Data Utility,Dataflow,Administrators;OMV_CoreTeam;User_heavy,
Workflows - Terminate,Allows a user to terminate a Workflow,Dataflow,Administrators;User_heavy,
Documents - Manage Economics Settings,Allows a user to specify the Economics settings used by a Document,Dataflow,Administrators;User_heavy,
Dashboard Map,Allows a user to configure Dashboard Maps,Dataflow,Administrators;OMV_CoreTeam;User_heavy,
Documents - Manage Well Links,Allows a user to manage links between Decline Wells and Dataflow Documents,Dataflow,Administrators;User_heavy,
Lists,Allows a user to configure Lists,Dataflow,Administrators;OMV_CoreTeam;User_heavy,
Tags,Allows a user to configure Tags,Dataflow,Administrators;OMV_CoreTeam;User_heavy,
Documents - Unlock,Allows a user to unlock Documents,Dataflow,Administrators;OMV_CoreTeam;User_heavy,
Templates Unlock,Allows a user to unlock Document Templates,Dataflow,Administrators;User_heavy,
Configure,Allows a user to configure the Reconciliation module,Reconciliation,Administrators,
Reconcile,Allows a user access to the Reconciliation module,Reconciliation,Administrators,
Manage,"Allows a user to create, update, deactivate and import data into Reconciliations",Reconciliation,Administrators,
Restart Approvals,Allows a user to restart an approvals process,Reconciliation,Administrators,
Manage Well Data,Allows a user access to the Decline workspace,Decline,Administrators,
Configure,Allows a user to configure the Decline module,Decline,Administrators,
Locks,Allows a user to unlock Wells and Well Groups,Decline,Administrators,
Reconciliations - Delete,Allows a user to delete Reconciliations,Reconciliation,Administrators,
Bulk Delete,Allows a user to delete wells in bulk using the hierarchy,Decline,Administrators,
Apply and Remove Revision Tags,Allows a user to add and remove revision tags in revision history,Decline,Administrators,
Manage Load from Database Templates,"Allows a user to create, edit, and delete load templates",Decline,Administrators,
Execute Load from Database Templates,Allows a user to use templates to load data,Decline,Administrators,
Load Historical Data,Allows a user to load historical data in to well documents,Decline,Administrators,
Load Forecast Data,Allows a user to load forecast data into well documents,Decline,Administrators,
Update Wells and Well Groups,Allows a user to update wells or well groups. Note: not having this role supersedes the Load* and Execute Load* roles.,Decline,Administrators,
Delete Wells and Well Groups,Allows a user to delete wells or well groups,Decline,Administrators,
Auto-forecast,Allows a user to access the auto-forecast feature in the Well Browser,Decline,Administrators,
Dataflow Links,Allows a user to manage links between Dataflow Documents and Financials Projects,Financials,Administrators;OMV_CoreTeam,
Access,Allows a user access to the Portfolio module,Portfolio,Administrators;OMV_CoreTeam,
