displayname,xkey,logonID,profile
PowerBI GW 12 (s.at.p2vpbi12),s.at.p2vpbi12,s.at.p2vpbi12,data.Libya
PowerBI GW 4 (s.at.p2vpbi4),s.at.p2vpbi4,s.at.p2vpbi4,data.Bulgaria
PowerBI GW 4 (s.at.p2vpbi4),s.at.p2vpbi4,s.at.p2vpbi4,data.Georgia
PowerBI GW 7 (s.at.p2vpbi7),s.at.p2vpbi7,s.at.p2vpbi7,data.Australia
PowerBI GW 8 (s.at.p2vpbi8),s.at.p2vpbi8,s.at.p2vpbi8,data.Malaysia
PowerBI GW 8 (s.at.p2vpbi8),s.at.p2vpbi8,s.at.p2vpbi8,data.Mexico
PowerBI GW 8 (s.at.p2vpbi8),s.at.p2vpbi8,s.at.p2vpbi8,data.Sapura.Australia
PowerBI GW 8 (s.at.p2vpbi8),s.at.p2vpbi8,s.at.p2vpbi8,data.Sapura.NewZealand
PowerBI GW 10 (s.at.p2vpbi10),s.at.p2vpbi10,s.at.p2vpbi10,data.Yemen
RR - Demo User 17 - PM LCB HO,demo17,demo17,00DEFAULT
RR - Demo User 18 - PM LCB AUT,demo18,demo18,00DEFAULT
RR - Demo User 19 - PM GAS AUT,demo19,demo19,00DEFAULT
RR - Demo User 17 - PM LCB HO,demo17,demo17,A09.profile.Projectmanager.LCB
RR - Demo User 18 - PM LCB AUT,demo18,demo18,A09.profile.Projectmanager.LCB
RR - Demo User 19 - PM GAS AUT,demo19,demo19,A08.profile.Projectmanager.Classic
RR - Demo User 17 - PM LCB HO,demo17,demo17,data.Corporate
RR - Demo User 18 - PM LCB AUT,demo18,demo18,data.Austria
RR - Demo User 19 - PM GAS AUT,demo19,demo19,data.Austria
RR - Demo User 30 - ECO.AT,demo30,demo30,data.Austria
RR - Demo User 33 - ECOPlus.HO,demo33,demo33,data.Corporate
RR - Demo User 30 - ECO.AT,demo30,demo30,A13.profile.Economics.Classic
RR - Demo User 33 - ECOPlus.HO,demo33,demo33,A15.profile.Economics.Plus
PowerBI GW 14 (s.at.p2vpbi14),s.at.p2vpbi14,s.at.p2vpbi14,data.Corporate
PowerBI GW 14 (s.at.p2vpbi14),s.at.p2vpbi14,s.at.p2vpbi14,data.access.LCB.allow
PowerBI GW 14 (s.at.p2vpbi14),s.at.p2vpbi14,s.at.p2vpbi14,data.access.PRMS.deny
