CAT,name,database_id,source_database_id,owner_sid,create_date,compatibility_level,collation_name,user_access,user_access_desc,is_read_only,is_auto_close_on,is_auto_shrink_on,state,state_desc,is_in_standby,is_cleanly_shutdown,is_supplemental_logging_enabled,snapshot_isolation_state,snapshot_isolation_state_desc,is_read_committed_snapshot_on,recovery_model,recovery_model_desc,page_verify_option,page_verify_option_desc,is_auto_create_stats_on,is_auto_create_stats_incremental_on,is_auto_update_stats_on,is_auto_update_stats_async_on,is_ansi_null_default_on,is_ansi_nulls_on,is_ansi_padding_on,is_ansi_warnings_on,is_arithabort_on,is_concat_null_yields_null_on,is_numeric_roundabort_on,is_quoted_identifier_on,is_recursive_triggers_on,is_cursor_close_on_commit_on,is_local_cursor_default,is_fulltext_enabled,is_trustworthy_on,is_db_chaining_on,is_parameterization_forced,is_master_key_encrypted_by_server,is_query_store_on,is_published,is_subscribed,is_merge_published,is_distributor,is_sync_with_backup,service_broker_guid,is_broker_enabled,log_reuse_wait,log_reuse_wait_desc,is_date_correlation_on,is_cdc_enabled,is_encrypted,is_honor_broker_priority_on,replica_id,group_database_id,resource_pool_id,default_language_lcid,default_language_name,default_fulltext_language_lcid,default_fulltext_language_name,is_nested_triggers_on,is_transform_noise_words_on,two_digit_year_cutoff,containment,containment_desc,target_recovery_time_in_seconds,delayed_durability,delayed_durability_desc,is_memory_optimized_elevate_to_snapshot_on,is_federation_member,is_remote_data_archive_enabled,is_mixed_page_allocation_on,is_temporal_history_retention_enabled
P2V,AUCERNA_RES_TEST_SbManagementDB,20,NULL,0x647E17F82D4DE44682B403096E7B1E90,9/21/2021 10:33,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C30A48B6-469D-4519-A2B8-85820C0CBE05,1,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,AUCERNA_RES_TEST_SBMessageContainer01,22,NULL,0x647E17F82D4DE44682B403096E7B1E90,9/21/2021 10:34,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,1,ON,1,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,74C73169-0790-4F8E-A048-87ACFECEB92C,1,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,AUCERNA_RES_TEST_SBMessageContainer02,60,NULL,0x647E17F82D4DE44682B403096E7B1E90,9/21/2021 10:34,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,1,ON,1,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,949F7E53-9244-4164-976E-BB3B4D37B68C,1,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,AUCERNA_RES_TEST_SBMessageContainer03,61,NULL,0x647E17F82D4DE44682B403096E7B1E90,9/21/2021 10:34,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,1,ON,1,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,41BC8FD4-F5B2-404C-8C0F-B08F1553FADE,1,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,AUCERNA_RES_TRAINING,33,NULL,0x010500000000000515000000DBEB0C506C798069828BA628C7A20100,8/27/2020 16:53,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5D77AAD5-F211-4623-AEE7-42E301E834CC,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,AUCERNA_RES_UPDATE,57,NULL,0x010500000000000515000000DBEB0C506C798069828BA62831410700,12/11/2020 13:35,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5D77AAD5-F211-4623-AEE7-42E301E834CC,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,0
P2V,AUCERNA_RES_UPDATE_SbGatewayDatabase,53,NULL,0x647E17F82D4DE44682B403096E7B1E90,12/3/2020 16:27,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,1,ON,1,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7BFAC8E4-8826-40E4-896B-CA16DAC2EA0C,1,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,AUCERNA_RES_UPDATE_SbManagementDB,30,NULL,0x647E17F82D4DE44682B403096E7B1E90,12/3/2020 16:27,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0789B43F-FE6E-4161-BCE9-2C78634A2039,1,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,AUCERNA_RES_UPDATE_SBMessageContainer01,54,NULL,0x647E17F82D4DE44682B403096E7B1E90,12/3/2020 16:27,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,1,ON,1,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7A2A4C84-EE1B-461D-98E9-6F746C39A13A,1,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,AUCERNA_RES_UPDATE_SBMessageContainer02,55,NULL,0x647E17F82D4DE44682B403096E7B1E90,2020-12-03 16:28:28.030,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,1,ON,1,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,E68A7454-1E50-45CF-9BE3-30F2E883B227,1,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,AUCERNA_RES_UPDATE_SBMessageContainer03,56,NULL,0x647E17F82D4DE44682B403096E7B1E90,12/3/2020 16:28,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,1,ON,1,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,E992B2E7-A0EB-47D1-8EC1-FFAAF637521C,1,2,LOG_BACKUP,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,P2V_D_PS_PRODCOPY,50,NULL,0x010500000000000515000000DBEB0C506C798069828BA62858AA0300,9/16/2021 16:00,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,3,SIMPLE,2,CHECKSUM,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E52697E4-0464-44A2-80A6-DD9FC88F7685,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,0,0,DISABLED,0,0,0,0,0
P2V,P2V_T_NAMR_TEST,51,NULL,0x010500000000000515000000DBEB0C506C798069828BA6284C7E0600,10/14/2021 10:18,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,0,NONE,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6D59BA96-565E-49C0-9BD7-6F8DD1D360FC,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,0,0,DISABLED,0,0,0,0,1
P2V,P2V_T_NAMR_TEST_RBU,29,NULL,0x010500000000000515000000DBEB0C506C798069828BA6284C7E0600,11/30/2021 12:31,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,0,NONE,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6D59BA96-565E-49C0-9BD7-6F8DD1D360FC,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,0,0,DISABLED,0,0,0,0,0
P2V,P2V_T_PS_BENCHMARK,25,NULL,0x010500000000000515000000DBEB0C506C798069828BA628BC780200,7/11/2022 12:10,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54E8F94C-63F6-4791-89A2-115A6AAB1526,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,0
P2V,P2V_T_PS_COMMON,48,NULL,0x010500000000000515000000DBEB0C506C798069828BA62858AA0300,2/25/2020 11:53,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26628396-977D-4266-9ED5-052DE37D6CFD,0,2,LOG_BACKUP,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,0
P2V,P2V_T_PS_DEMO,18,NULL,0x010500000000000515000000DBEB0C506C798069828BA6285BF40300,1/18/2021 8:20,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54E8F94C-63F6-4791-89A2-115A6AAB1526,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,0
P2V,P2V_T_PS_PETROVR,19,NULL,0x010500000000000515000000DBEB0C506C798069828BA62858AA0300,6/9/2020 8:29,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54E8F94C-63F6-4791-89A2-115A6AAB1526,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,0
P2V,P2V_T_PS_PRODTEST,37,NULL,0x010500000000000515000000DBEB0C506C798069828BA62858AA0300,6/23/2022 13:21,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54E8F94C-63F6-4791-89A2-115A6AAB1526,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,P2V_T_PS_TEST,13,NULL,0x010500000000000515000000DBEB0C506C798069828BA62858AA0300,6/7/2021 16:15,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54E8F94C-63F6-4791-89A2-115A6AAB1526,0,2,LOG_BACKUP,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,0
P2V,P2V_T_PS_TEST_1,59,NULL,0x010500000000000515000000DBEB0C506C798069828BA62858AA0300,10/5/2021 7:48,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54E8F94C-63F6-4791-89A2-115A6AAB1526,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,0
P2V,P2V_T_PS_TRAINING,17,NULL,0x010500000000000515000000DBEB0C506C798069828BA6286FD50600,2022-03-22 17:32:13.047,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54E8F94C-63F6-4791-89A2-115A6AAB1526,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
P2V,P2V_U_PS_COMMON,23,NULL,0x010500000000000515000000DBEB0C506C798069828BA6289D720600,2020-08-19 08:23:40.070,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26628396-977D-4266-9ED5-052DE37D6CFD,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,0
P2V,P2V_U_PS_UPDATE,24,NULL,0x010500000000000515000000DBEB0C506C798069828BA6289D720600,8/19/2020 8:31,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54E8F94C-63F6-4791-89A2-115A6AAB1526,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,0
P2V,Palantir38SP1,32,NULL,0x010500000000000515000000DBEB0C506C798069828BA628BC780200,4/6/2022 11:29,100,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,3,SIMPLE,2,CHECKSUM,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E52697E4-0464-44A2-80A6-DD9FC88F7685,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,0,0,DISABLED,0,0,0,0,1
,ABM_DB,44,NULL,0x01,10/8/2020 11:09,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4A1DAA2C-F509-479C-A227-A5609C1ADB6E,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
,AHST_DB,42,NULL,0x01,10/8/2020 11:09,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,D86F9573-8A72-460C-AAA0-75608E3ED632,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
,CPGEMStest17,14,NULL,0x010500000000000515000000DBEB0C506C798069828BA628BC780200,5/6/2020 14:54,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15A2DB94-269A-46A4-9811-E47FADA6A039,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,0,0,DISABLED,0,0,0,0,0
,DDF_DB_TEST,8,NULL,0x010500000000000515000000DBEB0C506C798069828BA628BC780200,10/22/2018 10:44,140,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43176EB2-F7B9-4E87-BD7E-3C13D0E00D38,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,60,0,DISABLED,0,0,0,0,1
,DS-IT_Dashboard,15,NULL,0x010500000000000515000000DBEB0C506C798069828BA628C7A20100,3/30/2020 12:47,130,SQL_Latin1_General_CP1_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,0,NONE,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,E1851AA4-DD89-4375-ABA4-99DF6EAF276B,0,2,LOG_BACKUP,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,0,0,DISABLED,0,0,0,0,1
,Finito,7,NULL,0x010500000000000515000000DBEB0C506C798069828BA6285BF40300,10/19/2018 8:24,100,Latin1_General_CI_AS,0,MULTI_USER,0,0,0,0,ONLINE,0,0,0,0,OFF,0,1,FULL,2,CHECKSUM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,E61AEEA4-EA42-47B3-971D-AA7368CB2108,0,0,NOTHING,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NONE,0,0,DISABLED,0,0,0,0,0
