Id,Name,Description,Comments
,data.Tunisia.Economics,Data access to country Tunisia (economist),[DATA] PRMS create-read-update-delete 
,data.Tunisia.Finance,Data access to country Tunisia (financials),[DATA] PRMS create-read-update-delete 
,data.Tunisia.Key,Data access to country Tunisia (full access),[DATA] PRMS full access
,data.Yemen,Data access to country Yemen,[DATA] PRMS read-update
,data.Yemen.Economics,Data access to country Yemen (economist),[DATA] PRMS create-read-update-delete 
,data.Yemen.Finance,Data access to country Yemen (financials),[DATA] PRMS create-read-update-delete 
,data.Yemen.key,Data access to country Yemen (full access),[DATA] PRMS full access
,DataFlow.key,Dataflow Key user ,Dataflow Key user in Branchoffice
,DataFlow.power,Dataflow Power user,Dataflow Power user in Headoffice
,Developer,internal & external developers,permissions needed for developers
,Economics.key,Economics key user ,Economics user in Branchoffice
,Economics.power,Economics power user,Economics power user in headoffice - global settings
,Economics.regimes,additional permission for Economics user to access Regime Library,
,Economics.regimes.readonly,readonly access to the regimes lib,readonly access to the regimes lib
,Economics.unlock,Economics.unlock,unlock objects in Economics
,Financials.key,Financials key user,Controlling key user in Branchoffice
,Financials.power,Financials power user HO,Controlling power user  in Headoffice
,Financials.regimes,additional permission for Financials user to access Regime Library,
,Financials.unlock,Financials.unlock,unlock objects in Financials
,Input.Approve,Input.Approve,
,Input.Confirm,Input.Confirm,
,license.heavy,Heavy license users,to manage the license-requirments
,license.light,Light licences users,to manage the license-requirments
,Objects.unlock,Objects.unlock,Unlock objects in Dataflow
,P2V.admin,Plan2Value administrators,permissions to almost everything
,P2V.base,P2V base access,user are allowed to update their project data
,P2V.developer,Group of internal/external developers,all external AUCERNA experts to support 
,PetroVR,PetroVR user,Users are allowed to use Economics as a Service via PetroVR
,Portfolio,Portfolio user,Portfolio power user in HO
,profile.Admin.Developer,profile.Admin.Developer,
,profile.Admin.Headoffice,profile.Admin.Headoffice,
,profile.Economics.Headoffice,profile.Economics.Headoffice,
,profile.Economics.local,profile.Economics.local,
,profile.Finance.Headoffice,profile.Finance.Headoffice,
,profile.Finance.local,profile.Finance.local,
,profile.Finance.Regimes,profile.Finance.Regimes,
,profile.LightUser.Headoffice,profile.LightUser.Headoffice,
,profile.LightUser.local,profile.LightUser.local,
,profile.PetroVR,profile.PetroVR,
,profile.PP.Headoffice,profile.PP.Headoffice,
,profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,
,profile.PP.local,profile.PP.local,
,profile.Projectmanager,profile.Projectmanager,
,profile.Reserves.Headoffice,profile.Reserves.Headoffice,
,profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,
,profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,
,profile.Reserves.local.Approve,profile.Reserves.local.Approve,
,profile.Reserves.local.QRE,profile.Reserves.local.QRE,
,profile.Reserves.readonly,profile.Reserves.readonly,
,profile.Resources.Headoffice,profile.Resources.Headoffice,
,profile.Resources.local,profile.Resources.local,
,profile.Student.local,profile.Student.local,
,Reporting,External Data interface using Odata,permissions to use Odata as interface
,Reserves.Administrator,Reserves.Administrator,
,Reserves.Approver,Reserves.Approver,
,Reserves.Approver.bo,Reserves.Approver.bo,
,Reserves.Approver.ho,Reserves.Approver.ho,
,Reserves.base,Reserves.base,
,Reserves.key,Reserves.key,
,Reserves.power,Reserves.power,
,Reserves.Security,Reserves.useradmin + Reserves.DataAdmin,
,Reserves.Submitter,Reserves.Submitter,
,temp.adjust.admin,temp.adjust.admin,
,temp.adjust.admin.deny,temp.adjust.admin.deny,
,temp.adjust.admin.readonly,temp.adjust.admin.readonly,
,temp.adjust.eco,temp.adjust.eco,
,temp.adjust.eco.deny,temp.adjust.eco.deny,
,temp.adjust.eco.readonly,temp.adjust.eco.readonly,
,temp.adjust.ecoresults,temp.adjust.ecoresults,
,temp.adjust.ecoresults.deny,temp.adjust.ecoresults.deny,
,temp.adjust.ecoresults.readonly,temp.adjust.ecoresults.readonly,
,temp.adjust.fin,temp.adjust.fin,
,temp.adjust.fin.deny,temp.adjust.fin.deny,
,temp.adjust.fin.readonly,temp.adjust.fin.readonly,
,temp.adjust.input,temp.adjust.input,
,temp.adjust.input.deny,temp.adjust.input.deny,
,temp.adjust.input.readonly,temp.adjust.input.readonly,
,temp.admin,temp.admin,
,temp.admin.deny,temp.admin.deny,
,temp.admin.readonly,temp.admin.readonly,
,temp.economics,temp.economics,
,temp.economics.deny,temp.economics.deny,
,temp.economics.readonly,temp.economics.readonly,
,temp.ecoresults,temp.ecoresults,
,temp.ecoresults.deny,temp.ecoresults.deny,
,temp.ecoresults.readonly,temp.ecoresults.readonly,
,temp.financials,temp.financials,
,temp.financials.deny,temp.financials.deny,
,temp.financials.readonly,temp.financials.readonly,
,temp.input,temp.input,
,temp.input.deny,temp.input.deny,
,temp.input.readonly,temp.input.readonly,
,User.admin,User for useradministration,permissions to add/change user /workgroup assignments
