Count of First Name,,tenant,
129,data.Georgia.Finance,1,1
130,data.Mexico.Economics,1,1
131,license.light,1,1
132,P.profile.Reserves.local.QRE,,1
,profile.Reserves.local.QRE,1,
133,data.Australia.Finance,1,1
134,data.ArabEmirates,1,1
135,P.profile.Exploration.Assurance,,1
,profile.Resources.Headoffice,1,
136,data.NewZealand.Economics,1,1
137,data.Bulgaria.key,1,
,data.Bulgaria.Planning,,1
138,data.Kurdistan,1,1
139,profile.LightUser.local,1,
,profile.LightUser.local.OLD,,1
140,data.Kurdistan.Economics,1,1
141,P.profile.Financials.Regimes,,1
,profile.Finance.Regimes,1,
142,profile.Reserves.readonly,1,1
143,profile.PP.Headoffice.Power,1,
,profile.PP.Headoffice.Power.OLD,,1
144,P.profile.Projectmanager.Classic,,1
,profile.Projectmanager,1,
145,data.Mexico.key,1,
,data.Mexico.Planning,,1
146,data.ArabEmirates.key,1,
,data.ArabEmirates.Planning,,1
147,P.profile.LightUser,,1
,profile.LightUser.Headoffice,1,
148,data.Yemen,1,1
149,data.Georgia,1,1
150,data.Kurdistan.key,1,
,data.Kurdistan.Planning,,1
151,data.Yemen.key,1,
,data.Yemen.Planning,,1
152,data.Georgia.Economics,1,1
153,data.NewZealand.key,1,
,data.NewZealand.Planning,,1
154,data.Bulgaria.Finance,1,1
155,P.profile.Portfolio.Classic,,1
,profile.PP.Headoffice,1,
156,P.profile.Reserves.Headoffice.Approve,,1
,profile.Reserves.Headoffice.Approve,1,
157,P.profile.Planner.Classic,,1
,profile.PP.local,1,
158,data.Mexico,1,1
159,data.Malaysia.key,1,
,data.Malaysia.Planning,,1
160,data.Romania.Finance,1,1
161,profile.Reserves.local.Approve,1,
,R.profile.Reserves.local.Approve,,1
162,data.Australia.key,1,
,data.Australia.Planning,,1
163,P.profile.Economics.Configurer,,1
,profile.Economics.Headoffice,1,
164,data.Bulgaria,1,1
165,data.Malaysia.Finance,1,1
166,Financials.unlock,1,1
167,data.ArabEmirates.Economics,1,1
168,P.profile.Financials.Classic,,1
,profile.Finance.local,1,
169,data.Malaysia,1,1
170,data.Romania.key,1,
,data.Romania.Planning,,1
171,P.profile.Financials.Configurer,,1
,profile.Finance.Headoffice,1,
172,data.Yemen.Finance,1,1
173,data.Australia.Economics,1,1
174,data.Malaysia.Economics,1,1
175,profile.Reserves.Headoffice,1,1
176,data.Everyone.Economics,1,1
177,Economics.regimes.readonly,1,1
178,data.Sapura.Australia.Economics,1,1
181,data.Sapura.NewZealand.key,1,
,data.Sapura.NewZealand.Planning,,1
182,data.Sapura.Australia,1,1
184,data.Sapura.NewZealand,1,1
185,data.Sapura.NewZealand.Economics,1,1
186,data.Sapura.NewZealand.Finance,1,1
189,data.Sapura.Australia.key,1,
,data.Sapura.Australia.Planning,,1
190,data.Sapura.Australia.Finance,1,1
192,data.OMVEP.Key,1,
,data.OMVEP.Planning,,1
193,data.OMVEP,1,1
194,data.OMVEP.Economics,1,1
195,data.OMVEP.Finance,1,1
196,bd.002.allow,1,
,Z.bd.002.allow,,1
197,bd.002.deny,1,
,Z.bd.002.deny,,1
198,bd.003.allow,1,
,Z.bd.003.allow,,1
199,bd.003.deny,1,
,Z.bd.003.deny,,1
200,bd.007.deny,1,
,Z.bd.007.deny,,1
201,bd.005.allow,1,
,Z.bd.005.allow,,1
202,bd.004.deny,1,
,Z.bd.004.deny,,1
203,bd.006.allow,1,
,Z.bd.006.allow,,1
204,bd.005.deny,1,
,Z.bd.005.deny,,1
205,bd.006.deny,1,
,Z.bd.006.deny,,1
206,bd.007.allow,1,
,Z.bd.007.allow,,1
207,bd.004.allow,1,
,Z.bd.004.allow,,1
208,data.Norway.Reserves,1,1
209,data.Tunisia.Reserves,1,1
210,data.Sapura.NewZealand.Reserves,1,1
211,data.Kurdistan.Reserves,1,1
212,data.ArabEmirates.Reserves,1,1
213,data.Malaysia.Reserves,1,1
214,data.Russia.Reserves,1,1
215,data.Libya.Reserves,1,1
216,data.Romania.Reserves,1,1
217,data.Bulgaria.Reserves,1,1
218,data.Australia.Reserves,1,1
219,data.OMVEP.Reserves,1,1
220,data.Mexico.Reserves,1,1
221,data.Yemen.Reserves,1,1
222,data.Austria.Reserves,1,1
223,data.NewZealand.Reserves,1,1
224,data.Sapura.Australia.Reserves,1,1
225,data.Georgia.Reserves,1,1
226,bd.012.allow,1,
,Z.bd.012.allow,,1
227,bd.012.deny,1,
,Z.bd.012.deny,,1
228,bd.011.allow,1,
,Z.bd.011.allow,,1
229,bd.010.deny,1,
,Z.bd.010.deny,,1
230,bd.009.deny,1,
,Z.bd.009.deny,,1
231,bd.017.allow,1,
,Z.bd.017.allow,,1
232,bd.018.deny,1,
,Z.bd.018.deny,,1
233,bd.020.deny,1,
,Z.bd.020.deny,,1
234,bd.008.deny,1,
,Z.bd.008.deny,,1
235,bd.013.deny,1,
,Z.bd.013.deny,,1
236,bd.017.deny,1,
,Z.bd.017.deny,,1
237,bd.014.deny,1,
,Z.bd.014.deny,,1
238,bd.013.allow,1,
,Z.bd.013.allow,,1
239,bd.019.allow,1,
,Z.bd.019.allow,,1
240,bd.019.deny,1,
,Z.bd.019.deny,,1
241,bd.016.deny,1,
,Z.bd.016.deny,,1
242,bd.020.allow,1,
,Z.bd.020.allow,,1
243,bd.008.allow,1,
,Z.bd.008.allow,,1
244,bd.018.allow,1,
,Z.bd.018.allow,,1
245,bd.015.allow,1,
,Z.bd.015.allow,,1
246,bd.016.allow,1,
,Z.bd.016.allow,,1
247,bd.009.allow,1,
,Z.bd.009.allow,,1
248,bd.014.allow,1,
,Z.bd.014.allow,,1
249,bd.011.deny,1,
,Z.bd.011.deny,,1
250,bd.010.allow,1,
,Z.bd.010.allow,,1
251,bd.015.deny,1,
,Z.bd.015.deny,,1
252,data.Corporate.Portfolio,1,1
253,data.Sapura.Australia.Portfolio,1,
254,data.Tunisia.Portfolio,1,
255,data.Romania.Portfolio,1,1
256,data.ArabEmirates.Portfolio,1,
257,data.Russia.Portfolio,1,
258,data.Bulgaria.Portfolio,1,1
259,data.NewZealand.Portfolio,1,
260,data.Norway.Portfolio,1,
261,data.Georgia.Portfolio,1,1
262,data.Yemen.Portfolio,1,
263,data.Australia.Portfolio,1,
264,data.Malaysia.Portfolio,1,
265,data.Sapura.NewZealand.Portfolio,1,
266,data.Austria.Portfolio,1,
267,data.Mexico.Portfolio,1,
268,data.Libya.Portfolio,1,
269,data.OMVEP.Portfolio,1,
270,data.Kurdistan.Portfolio,1,
271,profile.Portfolio.Light,1,
,profile.Portfolio.Light.OLD,,1
272,profile.Portfolio.Power,1,
,profile.Portfolio.Power.OLD,,1
273,data.Corporate.Exploration,1,1
274,T.PRMS.calc.deny,,1
,temp.calc.deny,1,
275,T.PRMS.quicklook,,1
,temp.quicklook,1,
276,T.PRMS.quicklook.readonly,,1
,temp.quicklook.readonly,1,
277,T.PRMS.quicklook.deny,,1
,temp.quicklook.deny,1,
278,T.PRMS.calc,,1
,temp.calc,1,
279,T.PRMS.calc.readonly,,1
,temp.calc.readonly,1,
280,systemcheck,1,1
281,rollover,1,1
282,SecurityAdministrators,1,
283,Economics.base,,1
,profile.Projectmanager.RO,1,
284,Financials.base,,1
,Input.Confirm.RO.PM,1,
285,SecurityAdministrators,,1
288,Financials.regimes.readonly,,1
289,P.profile.Economics.Regimes,,1
290,Dataflow.base,,1
291,Dataflow.baseplus,,1
292,T.ADJUST.calc,,1
293,T.ADJUST.calc.deny,,1
294,T.ADJUST.calc.readonly,,1
295,P.profile.Economics.Unlock,,1
296,P.profile.Auditor,,1
297,P.profile.Dataflow.Configuruer,,1
299,P.profile.Financials.Unlock,,1
300,Dataflow.quicklook,,1
301,P.profile.Dataflow.Quicklook,,1
302,CAPDAT,,1
303,OA,,1
304,T.ADJUST.overview,,1
305,T.ADJUST.overivew.deny,,1
306,T.ADJUST.overview.readonly,,1
307,P.profile.CAPDAT,,1
308,P.profile.Projectmanager.Light,,1
309,P.profile.Projectmanager.BD,,1
310,P.profile.Projectmanager.LCB,,1
311,P.profile.PetroVR.DFLoader,,1
312,data.ArabEmirates.Projectmanager,,1
313,data.Australia.Projectmanager,,1
314,data.Austria.ProjectManager,,1
315,data.Bulgaria.Projectmanager,,1
316,data.Corporate.Projectmanager,,1
317,data.Everyone.Finance,,1
318,data.Everyone.Projectmanagers,,1
319,data.Everyone.Planning,,1
320,data.Georgia.Projectmanager,,1
321,data.Kurdistan.Projectmanager,,1
322,data.Libya.Projectmanager,,1
323,data.Malaysia.Projectmanager,,1
324,data.Mexico.Projectmanager,,1
325,data.NewZealand.Projectmanager,,1
326,data.Norway.Projectmanager,,1
327,data.OMVEP.Projectmanager,,1
328,data.Romania.Projectmanager,,1
329,data.Russia.Projectmanager,,1
330,data.Sapura.Australia.Projectmanager,,1
331,data.Sapura.NewZealand.Projectmanager,,1
332,data.Tunisia.ProjectManager,,1
333,data.Yemen.Projectmanager,,1
Grand Total,,260,289
