profile,user,groups,Ptype,type,lic
profile.Finance.Headoffice,x,P2V.base,[Profile],Financials,
profile.Finance.Headoffice,x,Reporting,[Profile],License,
profile.Finance.Headoffice,x,Financials.key,[Profile],General,
profile.Finance.Headoffice,x,Financials.power,[Profile],Portfolio,
profile.Finance.Headoffice,x,Portfolio,[Profile],PROFILE,
profile.Finance.Headoffice,x,license.heavy,[Profile],API,
profile.Finance.Headoffice,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Finance.Headoffice,x,temp.adjust.eco,[Profile],Template,
profile.Finance.Headoffice,x,temp.adjust.ecoresults,[Profile],Template,
profile.Finance.Headoffice,x,temp.adjust.fin,[Profile],Template,
profile.Finance.Headoffice,x,temp.adjust.input,[Profile],Template,
profile.Finance.Headoffice,x,temp.admin.readonly,[Profile],Template,
profile.Finance.Headoffice,x,temp.economics.readonly,[Profile],Template,
profile.Finance.Headoffice,x,temp.ecoresults.readonly,[Profile],Template,
profile.Finance.Headoffice,x,temp.financials,[Profile],Template,
profile.Finance.Headoffice,x,temp.input,[Profile],Template,
profile.Finance.local,x,profile.Finance.local,[Profile],Financials,
profile.Finance.local,x,P2V.base,[Profile],License,
profile.Finance.local,x,Reporting,[Profile],General,
profile.Finance.local,x,Financials.key,[Profile],Portfolio,
profile.Finance.local,x,Portfolio,[Profile],PROFILE,
profile.Finance.local,x,license.heavy,[Profile],API,
profile.Finance.local,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Finance.local,x,temp.adjust.eco,[Profile],Template,
profile.Finance.local,x,temp.adjust.ecoresults,[Profile],Template,
profile.Finance.local,x,temp.adjust.fin,[Profile],Template,
profile.Finance.local,x,temp.adjust.input.readonly,[Profile],Template,
profile.Finance.local,x,temp.admin.readonly,[Profile],Template,
profile.Finance.local,x,temp.economics.readonly,[Profile],Template,
profile.Finance.local,x,temp.ecoresults.readonly,[Profile],Template,
profile.Finance.local,x,temp.financials,[Profile],Template,
profile.Finance.local,x,temp.input,[Profile],Template,
profile.Finance.Regimes,x,license.heavy,[Profile],License,
profile.Finance.Regimes,x,Financials.regimes,[Profile],PROFILE,
profile.Finance.Regimes,x,profile.Finance.Regimes,[Profile],PROFILE,
profile.LightUser.Headoffice,x,license.light,[Profile],License,
profile.LightUser.Headoffice,x,P2V.base,[Profile],General,
profile.LightUser.Headoffice,x,profile.LightUser.Headoffice,[Profile],PROFILE,
profile.LightUser.Headoffice,x,Reporting,[Profile],API,
profile.LightUser.Headoffice,x,temp.adjust.admin.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.adjust.eco.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.adjust.fin.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.adjust.input.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.admin.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.economics.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.ecoresults.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.financials.readonly,[Profile],Template,
profile.LightUser.Headoffice,x,temp.input.readonly,[Profile],Template,
profile.LightUser.local,x,license.light,[Profile],License,
profile.LightUser.local,x,P2V.base,[Profile],General,
profile.LightUser.local,x,profile.LightUser.local,[Profile],PROFILE,
profile.LightUser.local,x,Reporting,[Profile],API,
profile.LightUser.local,x,temp.adjust.admin.readonly,[Profile],Template,
profile.LightUser.local,x,temp.adjust.eco.readonly,[Profile],Template,
profile.LightUser.local,x,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.LightUser.local,x,temp.adjust.fin.readonly,[Profile],Template,
profile.LightUser.local,x,temp.adjust.input.readonly,[Profile],Template,
profile.LightUser.local,x,temp.admin.readonly,[Profile],Template,
profile.LightUser.local,x,temp.economics.readonly,[Profile],Template,
profile.LightUser.local,x,temp.ecoresults.readonly,[Profile],Template,
profile.LightUser.local,x,temp.financials.readonly,[Profile],Template,
profile.LightUser.local,x,temp.input.readonly,[Profile],Template,
profile.PetroVR,x,P2V.base,[Profile],General,
profile.PetroVR,x,PetroVR,[Profile],PetroVR,
profile.PetroVR,x,profile.PetroVR,[Profile],PROFILE,
profile.PetroVR,x,Reporting,[Profile],API,
profile.PP.Headoffice,x,profile.PP.Headoffice,[Profile],PROFILE,
profile.PP.Headoffice,x,P2V.base,[Profile],General,
profile.PP.Headoffice,x,Reporting,[Profile],API,
profile.PP.Headoffice,x,DataFlow.key,[Profile],DataFlow,
profile.PP.Headoffice,x,Portfolio,[Profile],Portfolio,
profile.PP.Headoffice,x,Reserves.base,[Profile],Reserves,
profile.PP.Headoffice,x,Economics.key,[Profile],Economics,
profile.PP.Headoffice,x,license.heavy,[Profile],License,
profile.PP.Headoffice,x,temp.adjust.admin.readonly,[Profile],Template,
profile.PP.Headoffice,x,temp.adjust.eco.readonly,[Profile],Template,
profile.PP.Headoffice,x,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.PP.Headoffice,x,temp.adjust.fin.readonly,[Profile],Template,
profile.PP.Headoffice,x,temp.adjust.input.readonly,[Profile],Template,
profile.PP.Headoffice,x,temp.admin,[Profile],Template,
profile.PP.Headoffice,x,temp.economics.readonly,[Profile],Template,
profile.PP.Headoffice,x,temp.ecoresults.readonly,[Profile],Template,
profile.PP.Headoffice,x,temp.financials.readonly,[Profile],Template,
profile.PP.Headoffice,x,temp.input,[Profile],Template,
profile.PP.Headoffice.Power,x,profile.PP.Headoffice.Power,[Profile],PROFILE,
profile.PP.Headoffice.Power,x,P2V.base,[Profile],General,
profile.PP.Headoffice.Power,x,Reporting,[Profile],API,
profile.PP.Headoffice.Power,x,DataFlow.key,[Profile],DataFlow,
profile.PP.Headoffice.Power,x,DataFlow.power,[Profile],DataFlow,
profile.PP.Headoffice.Power,x,Economics.key,[Profile],Economics,
profile.PP.Headoffice.Power,x,Portfolio,[Profile],Portfolio,
profile.PP.Headoffice.Power,x,Reserves.base,[Profile],Reserves,
profile.PP.Headoffice.Power,x,license.heavy,[Profile],License,
profile.PP.Headoffice.Power,x,temp.adjust.admin,[Profile],Template,
profile.PP.Headoffice.Power,x,temp.adjust.eco.readonly,[Profile],Template,
profile.PP.Headoffice.Power,x,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.PP.Headoffice.Power,x,temp.adjust.fin.readonly,[Profile],Template,
profile.PP.Headoffice.Power,x,temp.adjust.input.readonly,[Profile],Template,
profile.PP.Headoffice.Power,x,temp.admin,[Profile],Template,
profile.PP.Headoffice.Power,x,temp.economics.readonly,[Profile],Template,
profile.PP.Headoffice.Power,x,temp.ecoresults.readonly,[Profile],Template,
profile.PP.Headoffice.Power,x,temp.financials.readonly,[Profile],Template,
profile.PP.Headoffice.Power,x,temp.input,[Profile],Template,
profile.PP.local,x,profile.PP.local,[Profile],PROFILE,
profile.PP.local,x,P2V.base,[Profile],General,
profile.PP.local,x,Reporting,[Profile],API,
profile.PP.local,x,DataFlow.key,[Profile],DataFlow,
profile.PP.local,x,Portfolio,[Profile],Portfolio,
profile.PP.local,x,Reserves.base,[Profile],Reserves,
profile.PP.local,x,Input.Confirm,[Profile],General,
profile.PP.local,x,license.heavy,[Profile],License,
profile.PP.local,x,temp.adjust.admin,[Profile],Template,
profile.PP.local,x,temp.adjust.eco.readonly,[Profile],Template,
profile.PP.local,x,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.PP.local,x,temp.adjust.fin.readonly,[Profile],Template,
profile.PP.local,x,temp.adjust.input.readonly,[Profile],Template,
profile.PP.local,x,temp.admin,[Profile],Template,
profile.PP.local,x,temp.economics.readonly,[Profile],Template,
profile.PP.local,x,temp.ecoresults.readonly,[Profile],Template,
profile.PP.local,x,temp.financials.readonly,[Profile],Template,
profile.PP.local,x,temp.input,[Profile],Template,
profile.Projectmanager,x,Input.Confirm,[Profile],General,
profile.Projectmanager,x,license.light,[Profile],License,
profile.Projectmanager,x,P2V.base,[Profile],General,
profile.Projectmanager,x,Portfolio,[Profile],Portfolio,
profile.Projectmanager,x,profile.Projectmanager,[Profile],PROFILE,
profile.Projectmanager,x,Reporting,[Profile],API,
profile.Projectmanager,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Projectmanager,x,temp.adjust.eco.readonly,[Profile],Template,
profile.Projectmanager,x,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Projectmanager,x,temp.adjust.fin.readonly,[Profile],Template,
profile.Projectmanager,x,temp.adjust.input.readonly,[Profile],Template,
profile.Projectmanager,x,temp.admin.readonly,[Profile],Template,
profile.Projectmanager,x,temp.economics.readonly,[Profile],Template,
profile.Projectmanager,x,temp.ecoresults.deny,[Profile],Template,
profile.Projectmanager,x,temp.financials.deny,[Profile],Template,
profile.Projectmanager,x,temp.input,[Profile],Template,
profile.Reserves.Headoffice,x,license.heavy,[Profile],License,
profile.Reserves.Headoffice,x,profile.Reserves.Headoffice,[Profile],PROFILE,
profile.Reserves.Headoffice.Approve,x,data.Corporate,[Profile],DATA,
profile.Reserves.Headoffice.Approve,x,Input.Approve,[Profile],General,
profile.Reserves.Headoffice.Approve,x,license.light,[Profile],License,
profile.Reserves.Headoffice.Approve,x,P2V.base,[Profile],General,
profile.Reserves.Headoffice.Approve,x,Portfolio,[Profile],Portfolio,
profile.Reserves.Headoffice.Approve,x,profile.Reserves.Headoffice.Approve,[Profile],PROFILE,
profile.Reserves.Headoffice.Approve,x,Reporting,[Profile],API,
profile.Reserves.Headoffice.Approve,x,Reserves.Approver.ho,[Profile],Reserves,
profile.Reserves.Headoffice.Approve,x,Reserves.base,[Profile],Reserves,
profile.Reserves.Headoffice.Approve,x,Reserves.key,[Profile],Reserves,
profile.Reserves.Headoffice.Approve,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,x,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,x,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,x,temp.adjust.fin.deny,[Profile],Template,
profile.Reserves.Headoffice.Approve,x,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,x,temp.admin.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,x,temp.economics.readonly,[Profile],Template,
profile.Reserves.Headoffice.Approve,x,temp.ecoresults.deny,[Profile],Template,
profile.Reserves.Headoffice.Approve,x,temp.financials.deny,[Profile],Template,
profile.Reserves.Headoffice.Approve,x,temp.input,[Profile],Template,
profile.Reserves.Headoffice.Power,x,data.Corporate,[Profile],DATA,
profile.Reserves.Headoffice.Power,x,DataFlow.key,[Profile],DataFlow,
profile.Reserves.Headoffice.Power,x,license.heavy,[Profile],License,
profile.Reserves.Headoffice.Power,x,P2V.base,[Profile],General,
profile.Reserves.Headoffice.Power,x,Portfolio,[Profile],Portfolio,
profile.Reserves.Headoffice.Power,x,profile.Reserves.Headoffice.Power,[Profile],PROFILE,
profile.Reserves.Headoffice.Power,x,Reporting,[Profile],API,
profile.Reserves.Headoffice.Power,x,Reserves.Administrator,[Profile],Reserves,
profile.Reserves.Headoffice.Power,x,Reserves.base,[Profile],Reserves,
profile.Reserves.Headoffice.Power,x,Reserves.key,[Profile],Reserves,
profile.Reserves.Headoffice.Power,x,Reserves.power,[Profile],Reserves,
profile.Reserves.Headoffice.Power,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,x,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,x,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Reserves.Headoffice.Power,x,temp.adjust.fin.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,x,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,x,temp.admin.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,x,temp.economics.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,x,temp.ecoresults.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,x,temp.financials.deny,[Profile],Template,
profile.Reserves.Headoffice.Power,x,temp.input,[Profile],Template,
profile.Reserves.local.Approve,x,data.Corporate,[Profile],DATA,
profile.Reserves.local.Approve,x,Input.Approve,[Profile],General,
profile.Reserves.local.Approve,x,license.light,[Profile],License,
profile.Reserves.local.Approve,x,P2V.base,[Profile],General,
profile.Reserves.local.Approve,x,Portfolio,[Profile],Portfolio,
profile.Reserves.local.Approve,x,profile.Reserves.local.Approve,[Profile],PROFILE,
profile.Reserves.local.Approve,x,Reporting,[Profile],API,
profile.Reserves.local.Approve,x,Reserves.Approver.bo,[Profile],Reserves,
profile.Reserves.local.Approve,x,Reserves.base,[Profile],Reserves,
profile.Reserves.local.Approve,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.local.Approve,x,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.local.Approve,x,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.Reserves.local.Approve,x,temp.adjust.fin.deny,[Profile],Template,
profile.Reserves.local.Approve,x,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.local.Approve,x,temp.admin.readonly,[Profile],Template,
profile.Reserves.local.Approve,x,temp.economics.readonly,[Profile],Template,
profile.Reserves.local.Approve,x,temp.ecoresults.deny,[Profile],Template,
profile.Reserves.local.Approve,x,temp.financials.deny,[Profile],Template,
profile.Reserves.local.Approve,x,temp.input,[Profile],Template,
profile.Reserves.local.QRE,x,Input.Confirm,[Profile],General,
profile.Reserves.local.QRE,x,license.heavy,[Profile],License,
profile.Reserves.local.QRE,x,P2V.base,[Profile],General,
profile.Reserves.local.QRE,x,Portfolio,[Profile],Portfolio,
profile.Reserves.local.QRE,x,profile.Reserves.local.QRE,[Profile],PROFILE,
profile.Reserves.local.QRE,x,Reporting,[Profile],API,
profile.Reserves.local.QRE,x,Reserves.base,[Profile],Reserves,
profile.Reserves.local.QRE,x,Reserves.key,[Profile],Reserves,
profile.Reserves.local.QRE,x,Reserves.Submitter,[Profile],Reserves,
profile.Reserves.local.QRE,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.local.QRE,x,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.local.QRE,x,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Reserves.local.QRE,x,temp.adjust.fin.deny,[Profile],Template,
profile.Reserves.local.QRE,x,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.local.QRE,x,temp.admin.readonly,[Profile],Template,
profile.Reserves.local.QRE,x,temp.economics.readonly,[Profile],Template,
profile.Reserves.local.QRE,x,temp.ecoresults.deny,[Profile],Template,
profile.Reserves.local.QRE,x,temp.financials.deny,[Profile],Template,
profile.Reserves.local.QRE,x,temp.input,[Profile],Template,
profile.Reserves.readonly,x,data.Corporate,[Profile],DATA,
profile.Reserves.readonly,x,license.light,[Profile],License,
profile.Reserves.readonly,x,P2V.base,[Profile],General,
profile.Reserves.readonly,x,Portfolio,[Profile],Portfolio,
profile.Reserves.readonly,x,profile.Reserves.readonly,[Profile],PROFILE,
profile.Reserves.readonly,x,Reporting,[Profile],API,
profile.Reserves.readonly,x,Reserves.base,[Profile],Reserves,
profile.Reserves.readonly,x,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.readonly,x,temp.adjust.eco.readonly,[Profile],Template,
