LogonId,authenticationMethod,Domain,DisplayName,Description,IsDeactivated,IsAccountLocked,EmailAddress,,,,
demo18,LOCAL,,ZZ - Demo User 18 - ECO NZL (Sapura),ZZ - Demo User 18 - ECO NZL (Sapura),FALSE,FALSE,,,,,
demo19,LOCAL,,ZZ - Demo User 19 - PP corporate,ZZ - Demo User 19 - PP corporate,FALSE,FALSE,,,,,
demo20,LOCAL,,ZZ - Demo User 20 - PP ARE,ZZ - Demo User 20 - PP ARE,FALSE,FALSE,,,,,
demo21,LOCAL,,ZZ - Demo User 21 - PP AUS,ZZ - Demo User 21 - PP AUS,FALSE,FALSE,,,,,
demo22,LOCAL,,ZZ - Demo User 22 - PP AUT,ZZ - Demo User 22 - PP AUT,FALSE,FALSE,,,,,
demo23,LOCAL,,ZZ - Demo User 23 - PP BGR,ZZ - Demo User 23 - PP BGR,FALSE,FALSE,,,,,
demo24,LOCAL,,ZZ - Demo User 24 - PP GEO,ZZ - Demo User 24 - PP GEO,FALSE,FALSE,,,,,
demo25,LOCAL,,ZZ - Demo User 25 - PP KRI,ZZ - Demo User 25 - PP KRI,FALSE,FALSE,,,,,
demo26,LOCAL,,ZZ - Demo User 26 - PP LBY,ZZ - Demo User 26 - PP LBY,FALSE,FALSE,,,,,
demo27,LOCAL,,ZZ - Demo User 27 - PP MYS,ZZ - Demo User 27 - PP MYS,FALSE,FALSE,,,,,
demo28,LOCAL,,ZZ - Demo User 28 - PP MEX,ZZ - Demo User 28 - PP MEX,FALSE,FALSE,,,,,
demo29,LOCAL,,ZZ - Demo User 29 - PP NZL,ZZ - Demo User 29 - PP NZL,FALSE,FALSE,,,,,
demo30,LOCAL,,ZZ - Demo User 30 - PP NOR,ZZ - Demo User 30 - PP NOR,FALSE,FALSE,,,,,
demo31,LOCAL,,ZZ - Demo User 31 - PP ROU,ZZ - Demo User 31 - PP ROU,FALSE,FALSE,,,,,
demo32,LOCAL,,ZZ - Demo User 32 - PP RUS,ZZ - Demo User 32 - PP RUS,FALSE,FALSE,,,,,
demo33,LOCAL,,ZZ - Demo User 33 - PP TUN,ZZ - Demo User 33 - PP TUN,FALSE,FALSE,,,,,
demo34,LOCAL,,ZZ - Demo User 34 - PP YEM,ZZ - Demo User 34 - PP YEM,FALSE,FALSE,,,,,
demo35,LOCAL,,ZZ - Demo User 35 - PP AUS (Sapura),ZZ - Demo User 35 - PP AUS (Sapura),FALSE,FALSE,,,,,
demo36,LOCAL,,ZZ - Demo User 36 - PP NZL (Sapura),ZZ - Demo User 36 - PP NZL (Sapura),FALSE,FALSE,,,,,
demo37,LOCAL,,ZZ - Demo User 37 - FIN corporate,ZZ - Demo User 37 - FIN corporate,FALSE,FALSE,,,,,
demo38,LOCAL,,ZZ - Demo User 38 - FIN ARE,ZZ - Demo User 38 - FIN ARE,FALSE,FALSE,,,,,
demo39,LOCAL,,ZZ - Demo User 39 - FIN AUS,ZZ - Demo User 39 - FIN AUS,FALSE,FALSE,,,,,
demo40,LOCAL,,ZZ - Demo User 40 - FIN AUT,ZZ - Demo User 40 - FIN AUT,FALSE,FALSE,,,,,
demo41,LOCAL,,ZZ - Demo User 41 - FIN BGR,ZZ - Demo User 41 - FIN BGR,FALSE,FALSE,,,,,
demo42,LOCAL,,ZZ - Demo User 42 - FIN GEO,ZZ - Demo User 42 - FIN GEO,FALSE,FALSE,,,,,
demo43,LOCAL,,ZZ - Demo User 43 - FIN KRI,ZZ - Demo User 43 - FIN KRI,FALSE,FALSE,,,,,
demo44,LOCAL,,ZZ - Demo User 44 - FIN LBY,ZZ - Demo User 44 - FIN LBY,FALSE,FALSE,,,,,
demo45,LOCAL,,ZZ - Demo User 45 - FIN MYS,ZZ - Demo User 45 - FIN MYS,FALSE,FALSE,,,,,
demo46,LOCAL,,ZZ - Demo User 46 - FIN MEX,ZZ - Demo User 46 - FIN MEX,FALSE,FALSE,,,,,
demo47,LOCAL,,ZZ - Demo User 47 - FIN NZL,ZZ - Demo User 47 - FIN NZL,FALSE,FALSE,,,,,
demo48,LOCAL,,ZZ - Demo User 48 - FIN NOR,ZZ - Demo User 48 - FIN NOR,FALSE,FALSE,,,,,
demo49,LOCAL,,ZZ - Demo User 49 - FIN ROU,ZZ - Demo User 49 - FIN ROU,FALSE,FALSE,,,,,
demo50,LOCAL,,ZZ - Demo User 50 - FIN RUS,ZZ - Demo User 50 - FIN RUS,FALSE,FALSE,,,,,
demo51,LOCAL,,ZZ - Demo User 51 - FIN TUN,ZZ - Demo User 51 - FIN TUN,FALSE,FALSE,,,,,
demo52,LOCAL,,ZZ - Demo User 52 - FIN YEM,ZZ - Demo User 52 - FIN YEM,FALSE,FALSE,,,,,
demo53,LOCAL,,ZZ - Demo User 53 - FIN AUS (Sapura),ZZ - Demo User 53 - FIN AUS (Sapura),FALSE,FALSE,,,,,
demo54,LOCAL,,ZZ - Demo User 54 - FIN NZL (Sapura),ZZ - Demo User 54 - FIN NZL (Sapura),FALSE,FALSE,,,,,
demo55,LOCAL,,ZZ - Demo User 55 - RES corporate,ZZ - Demo User 55 - RES corporate,FALSE,FALSE,,,,,
demo56,LOCAL,,ZZ - Demo User 56 - RES ARE,ZZ - Demo User 56 - RES ARE,FALSE,FALSE,,,,,
demo57,LOCAL,,ZZ - Demo User 57 - RES AUS,ZZ - Demo User 57 - RES AUS,FALSE,FALSE,,,,,
demo58,LOCAL,,ZZ - Demo User 58 - RES AUT,ZZ - Demo User 58 - RES AUT,FALSE,FALSE,,,,,
demo59,LOCAL,,ZZ - Demo User 59 - RES BGR,ZZ - Demo User 59 - RES BGR,FALSE,FALSE,,,,,
demo60,LOCAL,,ZZ - Demo User 60 - RES GEO,ZZ - Demo User 60 - RES GEO,FALSE,FALSE,,,,,
demo61,LOCAL,,ZZ - Demo User 61 - RES KRI,ZZ - Demo User 61 - RES KRI,FALSE,FALSE,,,,,
demo62,LOCAL,,ZZ - Demo User 62 - RES LBY,ZZ - Demo User 62 - RES LBY,FALSE,FALSE,,,,,
demo63,LOCAL,,ZZ - Demo User 63 - RES MYS,ZZ - Demo User 63 - RES MYS,FALSE,FALSE,,,,,
demo64,LOCAL,,ZZ - Demo User 64 - RES MEX,ZZ - Demo User 64 - RES MEX,FALSE,FALSE,,,,,
demo65,LOCAL,,ZZ - Demo User 65 - RES NZL,ZZ - Demo User 65 - RES NZL,FALSE,FALSE,,,,,
demo66,LOCAL,,ZZ - Demo User 66 - RES NOR,ZZ - Demo User 66 - RES NOR,FALSE,FALSE,,,,,
demo67,LOCAL,,ZZ - Demo User 67 - RES ROU,ZZ - Demo User 67 - RES ROU,FALSE,FALSE,,,,,
demo68,LOCAL,,ZZ - Demo User 68 - RES RUS,ZZ - Demo User 68 - RES RUS,FALSE,FALSE,,,,,
demo69,LOCAL,,ZZ - Demo User 69 - RES TUN,ZZ - Demo User 69 - RES TUN,FALSE,FALSE,,,,,
demo70,LOCAL,,ZZ - Demo User 70 - RES YEM,ZZ - Demo User 70 - RES YEM,FALSE,FALSE,,,,,
demo71,LOCAL,,ZZ - Demo User 71 - RES AUS (Sapura),ZZ - Demo User 71 - RES AUS (Sapura),FALSE,FALSE,,,,,
demo72,LOCAL,,ZZ - Demo User 72 - RES NZL (Sapura),ZZ - Demo User 72 - RES NZL (Sapura),FALSE,FALSE,,,,,
