profile,user,groups,type,license
Finance local,demo11,temp.financials,LOCAL,
Finance local,demo11,temp.input,LOCAL,
ProjMgr. HO,demo12,data.Corporate,Headoffice,
ProjMgr. HO,demo12,Everyone,Headoffice,
ProjMgr. HO,demo12,Input.Approve,Headoffice,
ProjMgr. HO,demo12,Input.Confirm,Headoffice,
ProjMgr. HO,demo12,P2V.base,Headoffice,
ProjMgr. HO,demo12,Portfolio,Headoffice,
ProjMgr. HO,demo12,Reporting,Headoffice,
ProjMgr. HO,demo12,temp.adjust.admin.readonly,Headoffice,
ProjMgr. HO,demo12,temp.adjust.eco.readonly,Headoffice,
ProjMgr. HO,demo12,temp.adjust.ecoresults.deny,Headoffice,
ProjMgr. HO,demo12,temp.adjust.fin.deny,Headoffice,
ProjMgr. HO,demo12,temp.adjust.input.readonly,Headoffice,
ProjMgr. HO,demo12,temp.admin.readonly,Headoffice,
ProjMgr. HO,demo12,temp.economics.readonly,Headoffice,
ProjMgr. HO,demo12,temp.ecoresults.deny,Headoffice,
ProjMgr. HO,demo12,temp.financials.deny,Headoffice,
ProjMgr. HO,demo12,temp.input,Headoffice,
ProjMgr. Local,demo2,data.Austria,AT,
ProjMgr. Local,demo2,Everyone,LOCAL,
ProjMgr. Local,demo2,Input.Confirm,LOCAL,
ProjMgr. Local,demo2,P2V.base,LOCAL,
ProjMgr. Local,demo2,Portfolio,LOCAL,
ProjMgr. Local,demo2,Reporting,LOCAL,
ProjMgr. Local,demo2,temp.adjust.admin.readonly,LOCAL,
ProjMgr. Local,demo2,temp.adjust.eco.readonly,LOCAL,
ProjMgr. Local,demo2,temp.adjust.ecoresults.deny,LOCAL,
ProjMgr. Local,demo2,temp.adjust.fin.deny,LOCAL,
ProjMgr. Local,demo2,temp.adjust.input.readonly,LOCAL,
ProjMgr. Local,demo2,temp.admin.readonly,LOCAL,
ProjMgr. Local,demo2,temp.economics.readonly,LOCAL,
ProjMgr. Local,demo2,temp.ecoresults.deny,LOCAL,
ProjMgr. Local,demo2,temp.financials.deny,LOCAL,
ProjMgr. Local,demo2,temp.input,LOCAL,
PPP local,demo3,data.Austria,AT,
PPP local,demo3,data.Austria.Key,AT,
PPP local,demo3,DataFlow.key,LOCAL,
PPP local,demo3,Everyone,LOCAL,
PPP local,demo3,Input.Confirm,LOCAL,
PPP local,demo3,P2V.base,LOCAL,
PPP local,demo3,Portfolio,LOCAL,
PPP local,demo3,Reporting,LOCAL,
PPP local,demo3,temp.adjust.admin,LOCAL,
PPP local,demo3,temp.adjust.eco.readonly,LOCAL,
PPP local,demo3,temp.adjust.ecoresults.readonly,LOCAL,
PPP local,demo3,temp.adjust.fin.readonly,LOCAL,
PPP local,demo3,temp.adjust.input.readonly,LOCAL,
PPP local,demo3,temp.admin,LOCAL,
PPP local,demo3,temp.economics.readonly,LOCAL,
PPP local,demo3,temp.ecoresults.readonly,LOCAL,
PPP local,demo3,temp.financials.readonly,LOCAL,
PPP local,demo3,temp.input,LOCAL,
ProjMgr. local,demo4,data.Norway,NO,
ProjMgr. local,demo4,Everyone,LOCAL,
ProjMgr. local,demo4,Input.Confirm,LOCAL,
ProjMgr. local,demo4,P2V.base,LOCAL,
ProjMgr. local,demo4,Portfolio,LOCAL,
ProjMgr. local,demo4,Reporting,LOCAL,
ProjMgr. local,demo4,temp.adjust.admin.readonly,LOCAL,
ProjMgr. local,demo4,temp.adjust.eco.readonly,LOCAL,
ProjMgr. local,demo4,temp.adjust.ecoresults.deny,LOCAL,
ProjMgr. local,demo4,temp.adjust.fin.deny,LOCAL,
ProjMgr. local,demo4,temp.adjust.input.readonly,LOCAL,
ProjMgr. local,demo4,temp.admin.readonly,LOCAL,
ProjMgr. local,demo4,temp.economics.readonly,LOCAL,
ProjMgr. local,demo4,temp.ecoresults.deny,LOCAL,
ProjMgr. local,demo4,temp.financials.deny,LOCAL,
ProjMgr. local,demo4,temp.input,LOCAL,
Economist HO(incl.Regimes),demo5,data.Corporate,Headoffice,
Economist HO(incl.Regimes),demo5,Economics.key,Headoffice,
Economist HO(incl.Regimes),demo5,Economics.power,Headoffice,
Economist HO(incl.Regimes),demo5,Economics.regimes,Headoffice,
Economist HO(incl.Regimes),demo5,Everyone,Headoffice,
Economist HO(incl.Regimes),demo5,Input.Approve,Headoffice,
Economist HO(incl.Regimes),demo5,Input.Confirm,Headoffice,
Economist HO(incl.Regimes),demo5,Objects.unlock,Headoffice,
Economist HO(incl.Regimes),demo5,P2V.base,Headoffice,
Economist HO(incl.Regimes),demo5,Portfolio,Headoffice,
Economist HO(incl.Regimes),demo5,Reporting,Headoffice,
Economist HO(incl.Regimes),demo5,temp.adjust.admin,Headoffice,
Economist HO(incl.Regimes),demo5,temp.adjust.eco,Headoffice,
Economist HO(incl.Regimes),demo5,temp.adjust.ecoresults,Headoffice,
Economist HO(incl.Regimes),demo5,temp.adjust.fin.readonly,Headoffice,
Economist HO(incl.Regimes),demo5,temp.adjust.input,Headoffice,
Economist HO(incl.Regimes),demo5,temp.admin,Headoffice,
Economist HO(incl.Regimes),demo5,temp.economics,Headoffice,
Economist HO(incl.Regimes),demo5,temp.ecoresults,Headoffice,
Economist HO(incl.Regimes),demo5,temp.financials.readonly,Headoffice,
Economist HO(incl.Regimes),demo5,temp.input,Headoffice,
PPP HO,demo6,data.Corporate,Headoffice,
PPP HO,demo6,data.Corporate.key,Headoffice,
PPP HO,demo6,DataFlow.key,Headoffice,
PPP HO,demo6,DataFlow.power,Headoffice,
PPP HO,demo6,Everyone,Headoffice,
PPP HO,demo6,Input.Approve,Headoffice,
PPP HO,demo6,Input.Confirm,Headoffice,
PPP HO,demo6,P2V.base,Headoffice,
PPP HO,demo6,Portfolio,Headoffice,
PPP HO,demo6,Reporting,Headoffice,
PPP HO,demo6,temp.adjust.admin,Headoffice,
PPP HO,demo6,temp.adjust.eco.readonly,Headoffice,
PPP HO,demo6,temp.adjust.ecoresults.readonly,Headoffice,
PPP HO,demo6,temp.adjust.fin.readonly,Headoffice,
PPP HO,demo6,temp.adjust.input.readonly,Headoffice,
PPP HO,demo6,temp.admin,Headoffice,
PPP HO,demo6,temp.economics.readonly,Headoffice,
PPP HO,demo6,temp.ecoresults.readonly,Headoffice,
PPP HO,demo6,temp.financials.readonly,Headoffice,
PPP HO,demo6,temp.input,Headoffice,
Controlling HO,demo7,data.Corporate,Headoffice,
Controlling HO,demo7,Everyone,Headoffice,
Controlling HO,demo7,Financials.key,Headoffice,
Controlling HO,demo7,Financials.power,Headoffice,
Controlling HO,demo7,Financials.regimes,Headoffice,
Controlling HO,demo7,Input.Approve,Headoffice,
Controlling HO,demo7,Input.Confirm,Headoffice,
Controlling HO,demo7,Objects.unlock,Headoffice,
Controlling HO,demo7,P2V.base,Headoffice,
Controlling HO,demo7,Portfolio,Headoffice,
Controlling HO,demo7,Reporting,Headoffice,
Controlling HO,demo7,temp.adjust.admin.readonly,Headoffice,
Controlling HO,demo7,temp.adjust.eco,Headoffice,
Controlling HO,demo7,temp.adjust.ecoresults,Headoffice,
Controlling HO,demo7,temp.adjust.fin,Headoffice,
Controlling HO,demo7,temp.adjust.input,Headoffice,
Controlling HO,demo7,temp.admin.readonly,Headoffice,
Controlling HO,demo7,temp.economics.readonly,Headoffice,
Controlling HO,demo7,temp.ecoresults.readonly,Headoffice,
Controlling HO,demo7,temp.financials,Headoffice,
Controlling HO,demo7,temp.input,Headoffice,
Controlling local,demo8,data.Austria,AT,
Controlling local,demo8,Everyone,LOCAL,
Controlling local,demo8,Financials.key,LOCAL,
Controlling local,demo8,Input.Confirm,LOCAL,
Controlling local,demo8,P2V.base,LOCAL,
Controlling local,demo8,Portfolio,LOCAL,
Controlling local,demo8,Reporting,LOCAL,
Controlling local,demo8,temp.adjust.admin.readonly,LOCAL,
Controlling local,demo8,temp.adjust.eco.readonly,LOCAL,
Controlling local,demo8,temp.adjust.ecoresults,LOCAL,
Controlling local,demo8,temp.adjust.fin.readonly,LOCAL,
Controlling local,demo8,temp.adjust.input.readonly,LOCAL,
Controlling local,demo8,temp.admin.readonly,LOCAL,
Controlling local,demo8,temp.economics.readonly,LOCAL,
Controlling local,demo8,temp.ecoresults.readonly,LOCAL,
Controlling local,demo8,temp.financials,LOCAL,
Controlling local,demo8,temp.input,LOCAL,
Economist NO,demo9,data.Norway,NO,
Economist NO,demo9,Economics.key,LOCAL,
Economist NO,demo9,Everyone,LOCAL,
Economist NO,demo9,Input.Confirm,LOCAL,
Economist NO,demo9,P2V.base,LOCAL,
Economist NO,demo9,Portfolio,LOCAL,
Economist NO,demo9,Reporting,LOCAL,
Economist NO,demo9,temp.adjust.admin,LOCAL,
Economist NO,demo9,temp.adjust.eco,LOCAL,
Economist NO,demo9,temp.adjust.ecoresults,LOCAL,
Economist NO,demo9,temp.adjust.fin.readonly,LOCAL,
Economist NO,demo9,temp.adjust.input,LOCAL,
Economist NO,demo9,temp.admin,LOCAL,
Economist NO,demo9,temp.economics,LOCAL,
Economist NO,demo9,temp.ecoresults,LOCAL,
Economist NO,demo9,temp.financials.readonly,LOCAL,
Economist NO,demo9,temp.input,LOCAL,
