Workgroup Name	Workgroup Description	Entity Type Application	Entity Name	Read	Create	Update	Delete	Assign
data.Corporate.Economics	OMV Headoffice users (corporate) Economics	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Corporate.Finance	OMV Headoffice users (corporate) Finance	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Corporate.key	OMV Headoffice users (corporate) key 	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Russia	OMV BO Russia users	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Russia.Economics	data.Russia.Economics	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Russia.Finance	data.Russia.Finance	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Russia.Key	data.Russia.Key	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	OMV Headoffice users (corporate) 	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.Economics	OMV Headoffice users (corporate) Economics	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Corporate.Finance	OMV Headoffice users (corporate) Finance	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Corporate.key	OMV Headoffice users (corporate) key 	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Tunisia	OMV BO Tunisia users	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Tunisia.Economics	data.Tunisia.Economics	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Tunisia.Finance	data.Tunisia.Finance	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Tunisia.Key	data.Tunisia.Key	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate.Economics	OMV Headoffice users (corporate) Economics	PlanningSpace Dataflow	Project YEM (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Corporate.Finance	OMV Headoffice users (corporate) Finance	PlanningSpace Dataflow	Project YEM (PRMS)	Allow	Allow	Allow	Allow	NULL
data.Corporate.key	OMV Headoffice users (corporate) key 	PlanningSpace Dataflow	Project YEM (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	OMV Headoffice users (corporate) 	PlanningSpace Dataflow	Reservoir Group	Allow	NULL	NULL	NULL	NULL
data.Corporate.Economics	OMV Headoffice users (corporate) Economics	PlanningSpace Dataflow	Reservoir Group	Allow	NULL	Allow	Allow	NULL
data.Corporate.Finance	OMV Headoffice users (corporate) Finance	PlanningSpace Dataflow	Reservoir Group	Allow	NULL	Allow	Allow	NULL
DataFlow.key	Dataflow Key user 	PlanningSpace Dataflow	Reservoir Group	Allow	Allow	Allow	Allow	NULL
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Reservoir Group	Allow	Allow	Allow	Allow	Allow
P2V.base	P2V base access	PlanningSpace Dataflow	Reservoir Group	Allow	NULL	NULL	NULL	NULL
