Workgroup Name	Workgroup Description	Entity Type Application	Entity Name	Read	Create	Update	Delete	Assign
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Project LBY (PRMS)	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Project LBY (PRMS)	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Project LBY (PRMS)	Allow	Allow	Allow	Allow	Allow
User.admin	User for useradministration	PlanningSpace Dataflow	Project LBY (PRMS)	Allow	NULL	NULL	NULL	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project MEX (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project MEX (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Mexico	Data access to country Mexico	PlanningSpace Dataflow	Project MEX (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Mexico.key	Data access to country Mexico (full access)	PlanningSpace Dataflow	Project MEX (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project MYS (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project MYS (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Malaysia	Data access to country Malaysia	PlanningSpace Dataflow	Project MYS (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Malaysia.key	Data access to country Malaysia (full access)	PlanningSpace Dataflow	Project MYS (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project NOR (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project NOR (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Norway	Data access to country Norway	PlanningSpace Dataflow	Project NOR (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Norway.Key	Data access to country Norway (full access)	PlanningSpace Dataflow	Project NOR (PRMS)	Allow	Allow	Allow	Allow	Allow
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Project NOR (PRMS)	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Project NOR (PRMS)	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Project NOR (PRMS)	Allow	Allow	Allow	Allow	Allow
User.admin	User for useradministration	PlanningSpace Dataflow	Project NOR (PRMS)	Allow	NULL	NULL	NULL	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project NZL (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project NZL (PRMS)	Allow	Allow	Allow	Allow	Allow
data.NewZealand	Data access to country NewZealand	PlanningSpace Dataflow	Project NZL (PRMS)	Allow	NULL	Allow	NULL	NULL
data.NewZealand.key	Data access to country NewZealand (full access)	PlanningSpace Dataflow	Project NZL (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project ROU (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project ROU (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Romania	Data access to country Romania	PlanningSpace Dataflow	Project ROU (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Romania.key	Data access to country Romania (full access)	PlanningSpace Dataflow	Project ROU (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Russia	Data access to country Russia	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Russia.Key	Data access to country Russia (full access)	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	Allow
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	Allow	Allow	Allow	Allow
User.admin	User for useradministration	PlanningSpace Dataflow	Project RUS (PRMS)	Allow	NULL	NULL	NULL	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Tunisia	Data access to country Tunisia	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Tunisia.Key	Data access to country Tunisia (full access)	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	Allow
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	Allow	Allow	Allow	Allow
User.admin	User for useradministration	PlanningSpace Dataflow	Project TUN (PRMS)	Allow	NULL	NULL	NULL	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Project YEM (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Corporate.key	Data access to ALL countries (full access)	PlanningSpace Dataflow	Project YEM (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Yemen	Data access to country Yemen	PlanningSpace Dataflow	Project YEM (PRMS)	Allow	NULL	Allow	NULL	NULL
data.Yemen.key	Data access to country Yemen (full access)	PlanningSpace Dataflow	Project YEM (PRMS)	Allow	Allow	Allow	Allow	Allow
data.Corporate	Data access to ALL countries	PlanningSpace Dataflow	Reservoir Group	Allow	NULL	NULL	NULL	NULL
DataFlow.key	Dataflow Key user 	PlanningSpace Dataflow	Reservoir Group	Allow	Allow	Allow	Allow	NULL
DataFlow.power	Dataflow Power user	PlanningSpace Dataflow	Reservoir Group	Allow	NULL	Allow	NULL	NULL
OMV_CoreTeam	OMV Core Team Members	PlanningSpace Dataflow	Reservoir Group	Allow	Allow	Allow	Allow	Allow
P2V.admin	Plan2Value administrators	PlanningSpace Dataflow	Reservoir Group	Allow	Allow	Allow	Allow	Allow
P2V.base	P2V base access	PlanningSpace Dataflow	Reservoir Group	Allow	NULL	NULL	NULL	NULL
User.admin	User for useradministration	PlanningSpace Dataflow	Reservoir Group	Allow	NULL	NULL	NULL	Allow
