profile,user,groups,type,lic
Light User.Headoffice,x,temp.input.readonly,FUNC,
PP.Headoffice,x,P2V.base,FUNC,
PP.Headoffice,x,Portfolio,FUNC,
PP.Headoffice,x,Reporting,FUNC,
PP.Headoffice,x,Reserves.base,FUNC,
PP.Headoffice,x,temp.adjust.admin.readonly,FUNC,
PP.Headoffice,x,temp.adjust.eco.readonly,FUNC,
PP.Headoffice,x,temp.adjust.ecoresults.readonly,FUNC,
PP.Headoffice,x,temp.adjust.fin.readonly,FUNC,
PP.Headoffice,x,temp.adjust.input.readonly,FUNC,
PP.Headoffice,x,temp.admin,FUNC,
PP.Headoffice,x,temp.admin.readonly,FUNC,
PP.Headoffice,x,temp.economics.readonly,FUNC,
PP.Headoffice,x,temp.ecoresults.readonly,FUNC,
PP.Headoffice,x,temp.financials.readonly,FUNC,
PP.Headoffice,x,temp.input,FUNC,
PP.Power.Headoffice,x,DataFlow.key,FUNC,
PP.Power.Headoffice,x,DataFlow.power,FUNC,
PP.Power.Headoffice,x,P2V.base,FUNC,
PP.Power.Headoffice,x,Portfolio,FUNC,
PP.Power.Headoffice,x,Reporting,FUNC,
PP.Power.Headoffice,x,Reserves.base,FUNC,
PP.Power.Headoffice,x,temp.adjust.admin,FUNC,
PP.Power.Headoffice,x,temp.adjust.eco.readonly,FUNC,
PP.Power.Headoffice,x,temp.adjust.ecoresults.readonly,FUNC,
PP.Power.Headoffice,x,temp.adjust.fin.readonly,FUNC,
PP.Power.Headoffice,x,temp.adjust.input.readonly,FUNC,
PP.Power.Headoffice,x,temp.admin,FUNC,
PP.Power.Headoffice,x,temp.economics.readonly,FUNC,
PP.Power.Headoffice,x,temp.ecoresults.readonly,FUNC,
PP.Power.Headoffice,x,temp.financials.readonly,FUNC,
PP.Power.Headoffice,x,temp.input,FUNC,
Reserves.Headoffice,x,P2V.base,FUNC,
Reserves.Headoffice,x,Reporting,FUNC,
Reserves.Headoffice,x,Reserves.base,FUNC,
Reserves.Headoffice,x,temp.adjust.admin.readonly,FUNC,
Reserves.Headoffice,x,temp.adjust.eco.readonly,FUNC,
Reserves.Headoffice,x,temp.adjust.ecoresults.deny,FUNC,
Reserves.Headoffice,x,temp.adjust.fin.deny,FUNC,
Reserves.Headoffice,x,temp.adjust.input.readonly,FUNC,
Reserves.Headoffice,x,temp.admin.readonly,FUNC,
Reserves.Headoffice,x,temp.economics.readonly,FUNC,
Reserves.Headoffice,x,temp.ecoresults.readonly,FUNC,
Reserves.Headoffice,x,temp.financials.deny,FUNC,
Reserves.Headoffice,x,temp.input,FUNC,
Reserves.Approve.Headoffice,x,Input.Approve,FUNC,
Reserves.Approve.Headoffice,x,P2V.base,FUNC,
Reserves.Approve.Headoffice,x,Reporting,FUNC,
Reserves.Approve.Headoffice,x,temp.adjust.admin.readonly,FUNC,
Reserves.Approve.Headoffice,x,temp.adjust.eco.readonly,FUNC,
Reserves.Approve.Headoffice,x,temp.adjust.ecoresults.readonly,FUNC,
Reserves.Approve.Headoffice,x,temp.adjust.fin.deny,FUNC,
Reserves.Approve.Headoffice,x,temp.adjust.input.readonly,FUNC,
Reserves.Approve.Headoffice,x,temp.admin.readonly,FUNC,
Reserves.Approve.Headoffice,x,temp.economics.readonly,FUNC,
Reserves.Approve.Headoffice,x,temp.ecoresults.deny,FUNC,
Reserves.Approve.Headoffice,x,temp.financials.deny,FUNC,
Reserves.Approve.Headoffice,x,temp.input,FUNC,
Reserves.Power.Headoffice,x,DataFlow.key,FUNC,
Reserves.Power.Headoffice,x,P2V.base,FUNC,
Reserves.Power.Headoffice,x,Portfolio,FUNC,
Reserves.Power.Headoffice,x,Reporting,FUNC,
Reserves.Power.Headoffice,x,Reserves.base,FUNC,
Reserves.Power.Headoffice,x,Reserves.key,FUNC,
Reserves.Power.Headoffice,x,Reserves.power,FUNC,
Reserves.Power.Headoffice,x,temp.adjust.admin.readonly,FUNC,
Reserves.Power.Headoffice,x,temp.adjust.eco.readonly,FUNC,
Reserves.Power.Headoffice,x,temp.adjust.ecoresults.deny,FUNC,
Reserves.Power.Headoffice,x,temp.adjust.fin.readonly,FUNC,
Reserves.Power.Headoffice,x,temp.adjust.input.readonly,FUNC,
Reserves.Power.Headoffice,x,temp.admin.readonly,FUNC,
Reserves.Power.Headoffice,x,temp.economics.readonly,FUNC,
Reserves.Power.Headoffice,x,temp.ecoresults.readonly,FUNC,
Reserves.Power.Headoffice,x,temp.financials.deny,FUNC,
Reserves.Power.Headoffice,x,temp.input,FUNC,
Economics.local,x,Economics.key,FUNC,
Economics.local,x,P2V.base,FUNC,
Economics.local,x,Portfolio,FUNC,
Economics.local,x,Reporting,FUNC,
Economics.local,x,Reserves.base,FUNC,
Economics.local,x,temp.adjust.admin,FUNC,
Economics.local,x,temp.adjust.eco,FUNC,
Economics.local,x,temp.adjust.ecoresults,FUNC,
Economics.local,x,temp.adjust.fin.readonly,FUNC,
Economics.local,x,temp.adjust.input,FUNC,
Economics.local,x,temp.admin,FUNC,
Economics.local,x,temp.economics,FUNC,
Economics.local,x,temp.ecoresults,FUNC,
Economics.local,x,temp.financials.readonly,FUNC,
Economics.local,x,temp.input,FUNC,
Finance.local,x,Financials.key,FUNC,
Finance.local,x,P2V.base,FUNC,
Finance.local,x,Portfolio,FUNC,
Finance.local,x,Reporting,FUNC,
Finance.local,x,temp.adjust.admin.readonly,FUNC,
Finance.local,x,temp.adjust.eco,FUNC,
Finance.local,x,temp.adjust.ecoresults,FUNC,
Finance.local,x,temp.adjust.fin,FUNC,
Finance.local,x,temp.adjust.input.readonly,FUNC,
Finance.local,x,temp.admin.readonly,FUNC,
Finance.local,x,temp.economics.readonly,FUNC,
Finance.local,x,temp.ecoresults.readonly,FUNC,
Finance.local,x,temp.financials,FUNC,
Finance.local,x,temp.input,FUNC,
Light User.local,x,P2V.base,FUNC,
Light User.local,x,Reporting,FUNC,
Light User.local,x,temp.adjust.admin.readonly,FUNC,
Light User.local,x,temp.adjust.eco.readonly,FUNC,
Light User.local,x,temp.adjust.ecoresults.readonly,FUNC,
Light User.local,x,temp.adjust.fin.readonly,FUNC,
Light User.local,x,temp.adjust.input.readonly,FUNC,
Light User.local,x,temp.admin.readonly,FUNC,
Light User.local,x,temp.economics.readonly,FUNC,
Light User.local,x,temp.ecoresults.readonly,FUNC,
Light User.local,x,temp.financials.readonly,FUNC,
Light User.local,x,temp.input.readonly,FUNC,
PP.local,x,DataFlow.key,FUNC,
PP.local,x,Input.Confirm,FUNC,
PP.local,x,P2V.base,FUNC,
PP.local,x,Portfolio,FUNC,
PP.local,x,Reporting,FUNC,
PP.local,x,Reserves.base,FUNC,
PP.local,x,temp.adjust.admin,FUNC,
PP.local,x,temp.adjust.eco.readonly,FUNC,
PP.local,x,temp.adjust.ecoresults.readonly,FUNC,
PP.local,x,temp.adjust.fin.readonly,FUNC,
PP.local,x,temp.adjust.input.readonly,FUNC,
PP.local,x,temp.admin,FUNC,
PP.local,x,temp.economics.readonly,FUNC,
PP.local,x,temp.ecoresults.readonly,FUNC,
PP.local,x,temp.financials.readonly,FUNC,
PP.local,x,temp.input,FUNC,
Projectmanager,x,Input.Confirm,FUNC,
Projectmanager,x,P2V.base,FUNC,
Projectmanager,x,Portfolio,FUNC,
Projectmanager,x,Reporting,FUNC,
Projectmanager,x,temp.adjust.admin.readonly,FUNC,
Projectmanager,x,temp.adjust.eco.readonly,FUNC,
Projectmanager,x,temp.adjust.ecoresults.deny,FUNC,
Projectmanager,x,temp.adjust.fin.readonly,FUNC,
Projectmanager,x,temp.adjust.input.readonly,FUNC,
Projectmanager,x,temp.admin.readonly,FUNC,
Projectmanager,x,temp.economics.readonly,FUNC,
Projectmanager,x,temp.ecoresults.deny,FUNC,
Projectmanager,x,temp.financials.deny,FUNC,
Projectmanager,x,temp.input,FUNC,
Reserves.QRE.local,x,P2V.base,FUNC,
Reserves.QRE.local,x,Reporting,FUNC,
Reserves.QRE.local,x,Reserves.base,FUNC,
Reserves.QRE.local,x,Reserves.key,FUNC,
Reserves.QRE.local,x,temp.adjust.admin.readonly,FUNC,
Reserves.QRE.local,x,temp.adjust.eco.readonly,FUNC,
Reserves.QRE.local,x,temp.adjust.ecoresults.deny,FUNC,
Reserves.QRE.local,x,temp.adjust.fin.deny,FUNC,
Reserves.QRE.local,x,temp.adjust.input.readonly,FUNC,
Reserves.QRE.local,x,temp.admin.readonly,FUNC,
Reserves.QRE.local,x,temp.economics.readonly,FUNC,
Reserves.QRE.local,x,temp.ecoresults.deny,FUNC,
Reserves.QRE.local,x,temp.financials.deny,FUNC,
Reserves.QRE.local,x,temp.input,FUNC,
[ADD] Auditor,x,Auditor,ADDON,
[ADD] Developer,x,Developer,ADDON,
[ADD] Economics.unlock,x,Economics.unlock,ADDON,
[ADD] Documents.unlock,x,Objects.unlock,ADDON,
[ADD] Financials.unlock,x,Financials.unlock,ADDON,
[ADD] P2V.admin,x,P2V.admin,ADDON,
[ADD] PetroVR,x,PetroVR,ADDON,
[ADD] User administration,x,User.admin,ADDON,
PetroVR,x,P2V.base,FUNC
PetroVR,x,PetroVR,FUNC
PetroVR,x,Reporting,FUNC
