WGname_ASIS,WGname_TOBE
profile.Reserves.Headoffice.Power,A22.profile.Reserves.Headoffice.Power
profile.Reserves.local.Approve,XXX.profile.Reserves.local.Approve
profile.Reserves.local.QRE,A20.profile.Reserves.local.QRE
profile.Reserves.readonly,A05.profile.Light.reserves
profile.Resources.Headoffice,A24.profile.Exploration.Assurance
profile.Resources.local,XXX.profile.Resources.local
profile.Student.local,XXX.profile.Student.local.OLD
temp.adjust.admin,T.ADJUST.admin.full
temp.adjust.admin.deny,T.ADJUST.admin.deny
temp.adjust.admin.readonly,T.ADJUST.admin.readonly
temp.adjust.eco,T.ADJUST.economics.full
temp.adjust.eco.deny,T.ADJUST.economics.deny
temp.adjust.eco.readonly,T.ADJUST.economics.readonly
temp.adjust.ecoresults,T.ADJUST.ecoresults.full
temp.adjust.ecoresults.deny,T.ADJUST.ecoresults.deny
temp.adjust.ecoresults.readonly,T.ADJUST.ecoresults.readonly
temp.adjust.fin,T.ADJUST.financials.full
temp.adjust.fin.deny,T.ADJUST.financials.deny
temp.adjust.fin.readonly,T.ADJUST.financials.readonly
temp.adjust.input,T.ADJUST.input.full
temp.adjust.input.deny,T.ADJUST.input.deny
temp.adjust.input.readonly,T.ADJUST.input.readonly
temp.admin,T.PRMS.admin.full
temp.admin.deny,T.PRMS.admin.deny
temp.admin.readonly,T.PRMS.admin.readonly
temp.calc,T.PRMS.calc.full
temp.calc.deny,T.PRMS.calc.deny
temp.calc.readonly,T.PRMS.calc.readonly
temp.economics,T.PRMS.economics.full
temp.economics.deny,T.PRMS.economics.deny
temp.economics.readonly,T.PRMS.economics.readonly
temp.ecoresults,T.PRMS.ecoresults.full
temp.ecoresults.deny,T.PRMS.ecoresults.deny
temp.ecoresults.readonly,T.PRMS.ecoresults.readonly
temp.financials,T.PRMS.financials.full
temp.financials.deny,T.PRMS.financials.deny
temp.financials.readonly,T.PRMS.financials.readonly
temp.input,T.PRMS.input.full
temp.input.deny,T.PRMS.input.deny
temp.input.readonly,T.PRMS.input.readonly
temp.quicklook,T.PRMS.quicklook.full
temp.quicklook.deny,T.PRMS.quicklook.deny
temp.quicklook.readonly,T.PRMS.quicklook.readonly
