Id,Name,Description,Comments
,profile.Economics.Headoffice,profile.Economics.Headoffice,
,profile.Economics.local,profile.Economics.local,
,profile.Finance.Headoffice,profile.Finance.Headoffice,
,profile.Finance.local,profile.Finance.local,
,profile.Finance.Regimes,profile.Finance.Regimes,
,profile.LightUser.Headoffice,profile.LightUser.Headoffice,
,profile.LightUser.local,profile.LightUser.local,
,profile.PetroVR,profile.PetroVR,
,profile.PP.Headoffice,profile.PP.Headoffice,
,profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,
,profile.PP.local,profile.PP.local,
,profile.Projectmanager,profile.Projectmanager,
,profile.Reserves.Headoffice,profile.Reserves.Headoffice,
,profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,
,profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,
,profile.Reserves.local.Approve,profile.Reserves.local.Approve,
,profile.Reserves.local.QRE,profile.Reserves.local.QRE,
,profile.Reserves.readonly,profile.Reserves.readonly,
,profile.Resources.Headoffice,profile.Resources.Headoffice,
,profile.Resources.local,profile.Resources.local,
,profile.Student.local,profile.Student.local,
,Reserves.Administrator,Reserves.Administrator,
,Reserves.Approver.bo,Reserves.Approver.bo,
,Reserves.Approver.ho,Reserves.Approver.ho,
,Reserves.base,Reserves.base,
,Reserves.key,Reserves.key,
,Reserves.power,Reserves.power,
,Reserves.Submitter,Reserves.Submitter,
,PetroVR,PetroVR user,Users are allowed to use Economics as a Service via PetroVR
,data.Everyone.Economics,combining all data.country.Economics,combining all data.country.Economics
,Economics.regimes.readonly,readonly access to the regimes lib,readonly access to the regimes lib
