Id,Name,Description,Comments
,data.Libya.Economics,Data access to country Libya (economist),[DATA] PRMS create-read-update-delete 
,data.Libya.Finance,Data access to country Libya (financials),[DATA] PRMS create-read-update-delete 
,data.Libya.key,Data access to country Libya (full access),[DATA] PRMS full access
,data.Libya.Portfolio,Data access to country Libya (Portfolio),
,data.Libya.Reserves,Data access to country Libya (Reserves),[DATA] PRMS create-read-update-delete 
,data.Malaysia,Data access to country Malaysia,[DATA] PRMS read-update
,data.Malaysia.Economics,Data access to country Malaysia (economist),[DATA] PRMS create-read-update-delete 
,data.Malaysia.Finance,Data access to country Malaysia (financials),[DATA] PRMS create-read-update-delete 
,data.Malaysia.key,Data access to country Malaysia (full access),[DATA] PRMS full access
,data.Malaysia.Portfolio,Data access to country Malaysia (Portfolio),
,data.Malaysia.Reserves,Data access to country Malaysia (Reserves),[DATA] PRMS create-read-update-delete 
,data.Mexico,Data access to country Mexico,[DATA] PRMS read-update
,data.Mexico.Economics,Data access to country Mexico (economist),[DATA] PRMS create-read-update-delete 
,data.Mexico.Finance,Data access to country Mexico (financials),[DATA] PRMS create-read-update-delete 
,data.Mexico.key,Data access to country Mexico (full access),[DATA] PRMS full access
,data.Mexico.Portfolio,Data access to country Mexico (Portfolio),
,data.Mexico.Reserves,Data access to country Mexico (Reserves),[DATA] PRMS create-read-update-delete 
,data.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update
,data.NewZealand.Economics,Data access to country NewZealand (economist),[DATA] PRMS create-read-update-delete 
,data.NewZealand.Finance,Data access to country NewZealand (financials),[DATA] PRMS create-read-update-delete 
,data.NewZealand.key,Data access to country NewZealand (full access),[DATA] PRMS full access
,data.NewZealand.Portfolio,Data access to country NewZealand (Portfolio),
,data.NewZealand.Reserves,Data access to country NewZealand (Reserves),[DATA] PRMS create-read-update-delete 
,data.Norway,Data access to country Norway,[DATA] PRMS read-update
,data.Norway.Economics,Data access to country Norway (economist),[DATA] PRMS create-read-update-delete 
,data.Norway.Finance,Data access to country Norway (financials),[DATA] PRMS create-read-update-delete 
,data.Norway.Key,Data access to country Norway (full access),[DATA] PRMS full access
,data.Norway.Portfolio,Data access to country Norway (Portfolio),
,data.Norway.Reserves,Data access to country Norway (Reserves),[DATA] PRMS create-read-update-delete 
,data.OMVEP,Data access to ValueCenters,[DATA] PRMS read-update
,data.OMVEP.Economics,Data access to ValueCenters (economist),[DATA] PRMS create-read-update-delete 
,data.OMVEP.Key,Data access to ValueCenters (full access),[DATA] PRMS full access
,data.OMVEP.Portfolio,Data access to ValueCenters (Portfolio),
,data.OMVEP.Reserves,Data access to ValueCenters (Reserves),[DATA] PRMS create-read-update-delete 
,data.Romania,Data access to country Romania,[DATA] PRMS read-update
,data.Romania.economics,Data access to country Romania (economist),[DATA] PRMS create-read-update-delete 
,data.Romania.Finance,Data access to country Romania (financials),[DATA] PRMS create-read-update-delete 
,data.Romania.key,Data access to country Romania (full access),[DATA] PRMS full access
,data.Romania.Portfolio,Data access to country Romania (Portfolio),
,data.Romania.Reserves,Data access to country Romania (Reserves),[DATA] PRMS create-read-update-delete 
,data.Russia,Data access to country Russia,[DATA] PRMS read-update
,data.Russia.Economics,Data access to country Russia (economist),[DATA] PRMS create-read-update-delete 
,data.Russia.Finance,Data access to country Russia (financials),[DATA] PRMS create-read-update-delete 
,data.Russia.Key,Data access to country Russia (full access),[DATA] PRMS full access
,data.Russia.Portfolio,Data access to country Russia (Portfolio),
,data.Russia.Reserves,Data access to country Russia (Reserves),[DATA] PRMS create-read-update-delete 
,data.Sapura.Australia,Data access to country  Sapura- Australia,[DATA] PRMS read-update
,data.Sapura.Australia.Economics,Data access to country  Sapura- Australia (economist),[DATA] PRMS create-read-update-delete 
,data.Sapura.Australia.Finance,Data access to country  Sapura- Australia (financials),[DATA] PRMS create-read-update-delete 
,data.Sapura.Australia.key,Data access to country  Sapura- Australia (full access),[DATA] PRMS full access
,data.Sapura.Australia.Portfolio,Data access to country  Sapura- Australia (Portfolio),
,data.Sapura.Australia.Reserves,Data access to country  Sapura- Australia (Reserves),[DATA] PRMS create-read-update-delete 
,data.Sapura.NewZealand,Data access to country  Sapura- NewZealand,[DATA] PRMS read-update
,data.Sapura.NewZealand.Economics,Data access to country  Sapura- NewZealand (economist),[DATA] PRMS create-read-update-delete 
,data.Sapura.NewZealand.Finance,Data access to country  Sapura- NewZealand (financials),[DATA] PRMS create-read-update-delete 
,data.Sapura.NewZealand.key,Data access to country  Sapura- NewZealand (full access),[DATA] PRMS full access
,data.Sapura.NewZealand.Portfolio,Data access to country  Sapura- NewZealand (Portfolio),
,data.Sapura.NewZealand.Reserves,Data access to country  Sapura- NewZealand (Reserves),[DATA] PRMS create-read-update-delete 
,data.Tunisia,Data access to country Tunisia,[DATA] PRMS read-update
,data.Tunisia.Economics,Data access to country Tunisia (economist),[DATA] PRMS create-read-update-delete 
,data.Tunisia.Finance,Data access to country Tunisia (financials),[DATA] PRMS create-read-update-delete 
,data.Tunisia.Key,Data access to country Tunisia (full access),[DATA] PRMS full access
,data.Tunisia.Portfolio,Data access to country Tunisia (Portfolio),
,data.Tunisia.Reserves,Data access to country Tunisia (Reserves),[DATA] PRMS create-read-update-delete 
,data.Yemen,Data access to country Yemen,[DATA] PRMS read-update
,data.Yemen.Economics,Data access to country Yemen (economist),[DATA] PRMS create-read-update-delete 
,data.Yemen.Finance,Data access to country Yemen (financials),[DATA] PRMS create-read-update-delete 
,data.Yemen.key,Data access to country Yemen (full access),[DATA] PRMS full access
,data.Yemen.Portfolio,Data access to country Yemen (Portfolio),
,data.Yemen.Reserves,Data access to country Yemen (Reserves),[DATA] PRMS create-read-update-delete 
