Name,Description,Application name,Category,Allowed workgroups,Denied workgroups
Reports - Design,Allows a user to design reports,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.key;P2V.admin,
Documents - Manage Scenarios,Allows a user to manage the Scenarios of data within a Document,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.key;Economics.key;P2V.admin,
"Hierarchy - Move, Delete, Rename","Allows a user to move, delete and rename a Document within a Version",PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.key;Economics.key;P2V.admin,
Hierarchy - Change To,Allows a user to change the Node Type of a Document,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.power;P2V.admin,
Manage Data,Allows a user access to the Manage Data workspace,PlanningSpace Dataflow,Dataflow,Administrators;bd.base;P2V.admin;P2V.base;Reporting,
Documents - Manage Date Settings,Allows a user to specify the date settings used by a Document,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.key;P2V.admin,
Document Templates and Variables,Allows a user to configure Document Templates and Variables,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.power;P2V.admin,
Revisions Apply and Remove Tags,Allows the user to apply and remove revision tags in the Manage Data workspace,PlanningSpace Dataflow,Dataflow,Administrators;bd.base;P2V.base,
Workflows - Design,Allows a user to design Workflows,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.power;P2V.admin,
Versions,Allows a user to manage Versions,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.power;P2V.admin,
Documents - Manage Currency Settings,Allows a user to specify the currency settings used by a Document,PlanningSpace Dataflow,Dataflow,Administrators;bd.base;DataFlow.key;P2V.admin,
Data Utility Manage Public Presets,Allows a user to configure public presets within the Data Utility,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.key;P2V.admin,
Workflows - Terminate,Allows a user to terminate a Workflow,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.power;P2V.admin,
Documents - Manage Economics Settings,Allows a user to specify the Economics settings used by a Document,PlanningSpace Dataflow,Dataflow,Administrators;P2V.admin,
Dashboard Map,Allows a user to configure Dashboard Maps,PlanningSpace Dataflow,Dataflow,Administrators;P2V.admin,
Documents - Manage Well Links,Allows a user to manage links between Decline Wells and Dataflow Documents,PlanningSpace Dataflow,Dataflow,Administrators;P2V.admin,Everyone
Lists,Allows a user to configure Lists,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.power;P2V.admin,
Tags,Allows a user to configure Tags,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.power;P2V.admin,
Documents - Unlock,Allows a user to unlock Documents,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.key;Objects.unlock;P2V.admin,
Templates Unlock,Allows a user to unlock Document Templates,PlanningSpace Dataflow,Dataflow,Administrators;DataFlow.power;P2V.admin,
Configure,Allows a user to configure the Reconciliation module,PalantirDATAFLOW,Reconciliation,Administrators,
Reconcile,Allows a user access to the Reconciliation module,PalantirDATAFLOW,Reconciliation,Administrators,
Manage,"Allows a user to create, update, deactivate and import data into Reconciliations",PalantirDATAFLOW,Reconciliation,Administrators,
Restart Approvals,Allows a user to restart an approvals process,PalantirDATAFLOW,Reconciliation,Administrators,
Manage Well Data,Allows a user access to the Decline workspace,PlanningSpace Dataflow,Decline,Administrators,
Configure,Allows a user to configure the Decline module,PlanningSpace Dataflow,Decline,Administrators;User.admin,
Locks,Allows a user to unlock Wells and Well Groups,PlanningSpace Dataflow,Decline,Administrators,
Reconciliations - Delete,Allows a user to delete Reconciliations,PalantirDATAFLOW,Reconciliation,Administrators,
Bulk Delete,Allows a user to delete wells in bulk using the hierarchy,PlanningSpace Dataflow,Decline,Administrators,
Apply and Remove Revision Tags,Allows a user to add and remove revision tags in revision history,PlanningSpace Dataflow,Decline,Administrators,
Manage Load from Database Templates,"Allows a user to create, edit, and delete load templates",PlanningSpace Dataflow,Decline,Administrators,
Execute Load from Database Templates,Allows a user to use templates to load data,PlanningSpace Dataflow,Decline,Administrators,
Load Historical Data,Allows a user to load historical data in to well documents,PlanningSpace Dataflow,Decline,Administrators,
Load Forecast Data,Allows a user to load forecast data into well documents,PlanningSpace Dataflow,Decline,Administrators,
Update Wells and Well Groups,Allows a user to update wells or well groups. Note: not having this role supersedes the Load* and Execute Load* roles.,PlanningSpace Dataflow,Decline,Administrators,
Delete Wells and Well Groups,Allows a user to delete wells or well groups,PlanningSpace Dataflow,Decline,Administrators,
Auto-forecast,Allows a user to access the auto-forecast feature in the Well Browser,PlanningSpace Dataflow,Decline,Administrators,
Dataflow Links,Allows a user to manage links between Dataflow Documents and Financials Projects,PlanningSpace Financials,Financials,Administrators;Financials.key;P2V.admin,
Access,Allows a user access to the Portfolio module,PlanningSpace Portfolio,Portfolio,Administrators;DataFlow.key;P2V.admin;Portfolio;Reporting,
Manage Enersight Connections,Allows a user to manage Enersight connections,PlanningSpace Dataflow,Dataflow,Administrators;P2V.admin,Everyone
Hierarchy Currencies - Configure,Allows a user to configure Hierarchy Currencies,PlanningSpace Financials,Financials,Administrators;Financials.power;P2V.admin,
Hierarchy Prices - Configure,Allows a user to configure Hierarchy Prices,PlanningSpace Economics,Economics,Administrators;Economics.power;P2V.admin,
Hierarchy Currencies - Configure,Allows a user to configure Hierarchy Currencies,PlanningSpace Economics,Economics,Administrators;Economics.power;P2V.admin,
Administration,Allows a user access to view and change permissions on all Portfolios,PlanningSpace Portfolio,Portfolio,Administrators,
Optimization,Allows a user to run Portfolio optimization,PlanningSpace Portfolio,Portfolio,Administrators,
Hierarchy Currencies - View,Allows a user to view Hierarchy Currencies,PlanningSpace Financials,Financials,Administrators;Everyone,
Hierarchy Prices - View,Allows a user to view Hierarchy Prices,PlanningSpace Economics,Economics,Administrators;Everyone,
Hierarchy Currencies - View,Allows a user to view Hierarchy Currencies,PlanningSpace Economics,Economics,Administrators;Everyone,
